,Ticker,SMA200_value,SMA150_value,SMA50_value,SMA21_value,SMA200_percent,SMA50_percent,EPS_QoQ_percent,Sales_QoQ_percent,prev_close,week52_high,week52_low,Inst. Ownership,Shares Outstanding,volume,Relative Strength Value,SMA50_greater_SMA150_rule (1st),SMA50_greater_SMA150_rule_score,SMA50_greater_SMA150_rule_nvalue,SMA150_greater_SMA200_rule (1st),SMA150_greater_SMA200_rule_score,SMA150_greater_SMA200_rule_nvalue,week52_span_rule (1st),week52_span_rule_score,week52_span_rule_nvalue,rs_value_rule (1st),rs_value_rule_score,rs_value_rule_nvalue,overextended_sma21_rule (1st),overextended_sma21_rule_percentage,overextended_sma21_rule_score,overextended_sma21_rule_nvalue,liquidity_rule (1st),liquidity_rule_score,liquidity_rule_nvalue,close_above_52weekhigh_rule (1st),close_above_52weekhigh_rule_score,close_above_52weekhigh_rule_nvalue,prev_close_rule (1st),prev_close_rule_score,prev_close_rule_nvalue,SMA200_slope_rule (1st),SMA200_slope_rul_score,SMA200_slope_rul_nvalue,inst_ownership_rule (1st),inst_ownership_rule_score,inst_ownership_rule_nvalue,close_greater_SMA50_rule (1st),close_greater_SMA50_rule_score,close_greater_SMA50_rule_nvalue,sales_QoQ_yearly_rule (1st),sales_QoQ_yearly_rule_score,sales_QoQ_yearly_rule_nvalue,eps_QoQ_yearly_rule (2nd),eps_QoQ_yearly_rule_score,eps_QoQ_yearly_rule_nvalue,Primary Passed Tests,Secondary Passed Tests,Lwowski Rating,N-Value Rating
883,VUZI,11.3,13.81,22.58,25.89,1.93,0.3,0.69,1.1,26.23,31.0,1.49,0.22,62660000.0,5416813.0,35.0,True,5202.0,8192.0,True,910.0,4096.0,True,23518.0,2048.0,True,34816.0,1024.0,True,0.013132483584395513,18.0,512,True,9.0,256,True,16.0,128.0,True,8.0,64.0,True,0.0,32.0,True,54.0,16.0,True,1.0,8.0,True,14.0,4.0,True,6.0,2,12,1,64572.0,16382.0
923,HOME,21.36,22.56,27.64,27.67,0.54,0.07,1.31,0.41,28.6,33.0,1.76,0.94,64879999.99999999,1310858.0,4.0,True,1845.0,8192.0,True,230.0,4096.0,True,20992.0,2048.0,True,3072.0,1024.0,True,0.03361040838453197,8.0,512,True,4.0,256,True,20.0,128.0,True,10.0,64.0,True,0.0,32.0,True,285.0,16.0,True,0.0,8.0,True,3.0,4.0,True,13.0,2,12,1,26482.0,16382.0
1236,LOB,46.86,51.58,62.18,67.95,0.82,0.21,3.12,0.34,71.22,71.0,11.68,0.49,41330000.0,215423.0,18.0,True,1684.0,8192.0,True,413.0,4096.0,True,5422.0,2048.0,True,17408.0,1024.0,True,0.048123620309050714,1.0,512,True,0.0,256,True,43.0,128.0,True,22.0,64.0,True,0.0,32.0,True,141.0,16.0,True,1.0,8.0,True,1.0,4.0,True,33.0,2,12,1,25169.0,16382.0
530,DVAX,6.49,7.29,9.54,9.9,0.47,0.04,0.68,0.85,10.07,12.0,3.07,0.75,110250000.0,1819199.0,8.0,True,2528.0,8192.0,True,505.0,4096.0,True,2755.0,2048.0,True,7168.0,1024.0,True,0.017171717171717164,16.0,512,True,8.0,256,True,15.0,128.0,True,8.0,64.0,True,0.0,32.0,True,224.0,16.0,True,0.0,8.0,True,10.0,4.0,True,6.0,2,12,1,13243.0,16382.0
1158,UCTT,37.57,42.55,52.35,56.39,0.64,0.08,3.09,0.29,55.16,65.0,15.05,0.91,40500000.0,962995.0,7.0,True,1887.0,8192.0,True,543.0,4096.0,True,3259.0,2048.0,True,6144.0,1024.0,True,-0.021812378081220146,35.0,512,True,18.0,256,True,17.0,128.0,True,8.0,64.0,True,0.0,32.0,True,275.0,16.0,True,0.0,8.0,True,1.0,4.0,True,32.0,2,12,1,12219.0,16382.0
1614,UHAL,469.26,505.94,597.14,609.61,0.45,0.09,4.92,0.26,605.0,621.0,252.54,0.37,19610000.0,71321.0,6.0,True,1477.0,8192.0,True,320.0,4096.0,True,974.0,2048.0,True,5120.0,1024.0,True,-0.007562211905972694,28.0,512,True,14.0,256,True,38.0,128.0,True,19.0,64.0,True,0.0,32.0,True,102.0,16.0,True,0.0,8.0,True,0.0,4.0,True,53.0,2,12,1,8145.0,16382.0
773,TGNA,15.56,16.68,19.32,19.65,0.42,0.09,1.88,0.35,20.61,21.0,10.13,0.91,219940000.0,1028475.0,6.0,True,1297.0,8192.0,True,295.0,4096.0,True,499.0,2048.0,True,5120.0,1024.0,True,0.04885496183206112,1.0,512,True,0.0,256,True,39.0,128.0,True,20.0,64.0,True,0.0,32.0,True,275.0,16.0,True,1.0,8.0,True,2.0,4.0,True,19.0,2,12,1,7568.0,16382.0
1583,GNRC,256.43,273.21,320.37,319.57,0.46,0.05,0.78,0.29,328.34,363.0,93.29,0.95,62390000.0,362423.0,2.0,True,1414.0,8192.0,True,268.0,4096.0,True,2733.0,2048.0,True,1024.0,1024.0,True,0.027443126701505092,11.0,512,True,5.0,256,True,26.0,128.0,True,13.0,64.0,True,0.0,32.0,True,288.0,16.0,True,0.0,8.0,True,1.0,4.0,True,7.0,2,12,1,5790.0,16382.0
1385,WD,85.59,94.0,103.9,104.5,0.43,0.06,0.93,0.61,108.03,112.0,32.69,0.78,30640000.0,119317.0,2.0,True,863.0,8192.0,True,402.0,4096.0,True,2162.0,2048.0,True,1024.0,1024.0,True,0.033779904306220104,8.0,512,True,4.0,256,True,37.0,128.0,True,18.0,64.0,True,0.0,32.0,True,234.0,16.0,True,0.0,8.0,True,6.0,4.0,True,8.0,2,12,1,4766.0,16382.0
1507,MKSI,150.38,162.71,174.29,185.13,0.34,0.1,1.7,0.32,187.75,197.0,85.2,0.98,55100000.0,390216.0,2.0,True,583.0,8192.0,True,336.0,4096.0,True,793.0,2048.0,True,1024.0,1024.0,True,0.014152217360773536,17.0,512,True,9.0,256,True,35.0,128.0,True,17.0,64.0,True,0.0,32.0,True,298.0,16.0,True,1.0,8.0,True,1.0,4.0,True,17.0,2,12,1,3131.0,16382.0
1519,QRVO,162.0,171.49,179.37,186.16,0.29,0.08,0.28,0.26,192.56,198.0,81.18,0.87,113810000.0,819939.0,2.0,True,376.0,8192.0,True,240.0,4096.0,True,949.0,2048.0,True,1024.0,1024.0,True,0.03437902879243664,8.0,512,True,4.0,256,True,38.0,128.0,True,19.0,64.0,True,0.0,32.0,True,262.0,16.0,True,1.0,8.0,True,0.0,4.0,True,1.0,2,12,1,2922.0,16382.0
994,WLL,25.21,28.18,34.45,34.3,0.15,0.09,1.0,-0.44,34.5,37.0,0.32,0.87,38170000.0,369501.0,8.0,True,1823.0,8192.0,True,483.0,4096.0,True,140032.0,2048.0,True,7168.0,1024.0,True,0.005830903790087547,22.0,512,True,11.0,256,True,31.0,128.0,True,16.0,64.0,True,0.0,32.0,True,262.0,16.0,True,0.0,8.0,False,0.0,0.0,True,9.0,2,11,1,149857.0,16378.0
1064,VRTV,24.12,26.96,38.5,42.44,1.01,0.3,7.73,-0.1,44.25,46.0,7.19,0.92,15870000.0,117738.0,32.0,True,3507.0,8192.0,True,482.0,4096.0,True,5814.0,2048.0,True,31744.0,1024.0,True,0.04264844486333653,4.0,512,True,2.0,256,True,36.0,128.0,True,18.0,64.0,True,0.0,32.0,True,278.0,16.0,True,1.0,8.0,False,0.0,0.0,True,84.0,2,11,1,41970.0,16378.0
1412,SNX,86.21,91.25,104.83,116.51,0.52,0.2,0.29,0.21,119.96,121.0,35.11,0.77,51150000.0,175466.0,16.0,True,1219.0,8192.0,True,239.0,4096.0,True,2187.0,2048.0,True,15360.0,1024.0,True,0.029611192172345622,10.0,512,True,5.0,256,True,41.0,128.0,True,21.0,64.0,True,0.0,32.0,True,230.0,16.0,True,1.0,8.0,False,0.0,0.0,True,1.0,2,11,1,19314.0,16378.0
955,AA,21.58,24.59,29.91,31.24,0.65,0.15,0.99,-0.02,31.77,33.0,6.66,0.8,186000000.0,3408460.0,13.0,True,1772.0,8192.0,True,571.0,4096.0,True,4041.0,2048.0,True,12288.0,1024.0,True,0.016965428937259962,16.0,512,True,8.0,256,True,36.0,128.0,True,18.0,64.0,True,0.0,32.0,True,240.0,16.0,True,0.0,8.0,False,0.0,0.0,True,9.0,2,11,1,18999.0,16378.0
871,MX,17.1,18.24,22.63,24.74,0.65,0.18,0.21,0.16,25.29,27.0,9.92,0.77,35590000.0,346696.0,15.0,True,1972.0,8192.0,True,273.0,4096.0,True,1297.0,2048.0,True,14336.0,1024.0,True,0.022231204527081678,14.0,512,True,7.0,256,True,32.0,128.0,True,16.0,64.0,True,0.0,32.0,True,230.0,16.0,True,1.0,8.0,False,0.0,0.0,True,0.0,2,11,1,18178.0,16378.0
1613,RH,457.77,487.38,520.51,577.22,0.46,0.17,0.63,0.22,600.86,613.0,119.79,1.0,20490000.0,379283.0,11.0,True,557.0,8192.0,True,265.0,4096.0,True,4240.0,2048.0,True,10240.0,1024.0,True,0.04095492186687916,4.0,512,True,2.0,256,True,39.0,128.0,True,20.0,64.0,True,0.0,32.0,True,304.0,16.0,True,1.0,8.0,False,0.0,0.0,True,5.0,2,11,1,15677.0,16378.0
