,Ticker,N-Value Rating,Lwowski Rating,Primary Passed Tests,Secondary Passed Tests,SMA50_greater_SMA150_rule (1st),SMA150_greater_SMA200_rule (1st),week52_span_rule (1st),rs_value_rule (1st),liquidity_rule (1st),close_above_52weekhigh_rule (1st),prev_close_rule (1st),SMA200_slope_rule (1st),inst_ownership_rule (1st),close_greater_SMA50_rule (1st),sales_QoQ_yearly_rule (1st),eps_QoQ_yearly_rule (2nd),Double Bottom Chart Pattern,Inverse Head and Shoulder Pattern,Multiple Bottom Pattern,Channel Up Pattern,Channel Up Strong Pattern,Wedge Down Pattern,Wedge Down Strong Pattern,Channel Down Strong Pattern,week52_low,week52_high,SMA200_percent,SMA150_value,SMA200_value,volume,EPS_QoQ_percent,Shares Outstanding,prev_close,Sales_QoQ_percent,SMA50_value,Inst. Ownership,Relative Strength Value,SMA50_percent,SMA50_greater_SMA150_rule_nvalue,SMA150_greater_SMA200_rule_nvalue,week52_span_rule_nvalue,rs_value_rule_nvalue,liquidity_rule_nvalue,close_above_52weekhigh_rule_nvalue,prev_close_rule_nvalue,SMA200_slope_rul_nvalue,inst_ownership_rule_nvalue,close_greater_SMA50_rule_nvalue,sales_QoQ_yearly_rule_nvalue,eps_QoQ_yearly_rule_nvalue,SMA50_greater_SMA150_rule_score,SMA150_greater_SMA200_rule_score,week52_span_rule_score,rs_value_rule_score,liquidity_rule_score,close_above_52weekhigh_rule_score,prev_close_rule_score,SMA200_slope_rul_score,inst_ownership_rule_score,close_greater_SMA50_rule_score,sales_QoQ_yearly_rule_score,eps_QoQ_yearly_rule_score
2111,MARA,8190.0,141622.69459611402,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.41999998688697815,56.56000137329102,3.7519,22.080792101302947,16.85591242435205,28831230.0,0.579,98800000.0,48.85,7.6670000000000025,38.85029428145464,0.109,73.90109108832705,0.6762,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,3110.7525769353247,634.8249391077851,81715.20459216903,37325.35863722344,18662.67931861172,19.40216520934579,9.701082604672894,0.7268250561118625,18.88,2.059125863212575,118.67200000000001,4.433333333333334
1582,VUZI,8190.0,62539.209939131026,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,1.4199999570846558,28.809999465942386,2.4743,12.362772254660578,10.258759100071703,9551926.0,0.6859999999999999,57890000.0,24.85,1.1,20.92264702740837,0.23800000000000002,63.15044464466422,0.5446,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,2836.0343737592852,420.03315396770495,11441.3973287548,31821.02765806808,15910.51382903404,19.20814804874348,9.60407402437174,0.5074854377360651,60.16,1.5016658140614236,13.6,5.622222222222222
840,KOPN,8190.0,59055.87739009505,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.3499999940395355,13.5600004196167,2.2732,5.464158420515534,4.382700736505272,9929896.0,1.1740000000000002,81690000.0,10.4,0.598,9.82735294454238,0.184,43.233456040514355,0.2909,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,3270.7039941070757,505.35627915564635,22779.61257055168,21623.529492743346,10811.764746371673,2.89478454334041,1.447392271670205,0.6095200455004661,42.88,0.4661658606863328,5.568,11.044444444444444
2158,PAND,8190.0,52276.772259958656,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,10.729999542236328,61.63000106811523,1.6691999999999998,27.98341347621037,24.00406475890455,0.0,0.596,28470000.0,60.05,1.2,49.727222124735505,0.47,60.94251362749314,0.5007,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,3182.6939304625603,339.51358883995323,2504.935160453711,30690.56697727649,15345.283488638244,38.29130546349272,19.14565273174636,0.4592293411380034,134.39999999999998,1.6607045291001186,15.2,4.622222222222222
1003,ZDGE,8190.0,35917.80733930012,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.8299999833106995,15.579999923706055,1.8878,8.026762353311671,6.420773708907357,657198.0,21.78,12630000.0,12.29,1.038,11.938823475557216,0.262,30.386778003928214,0.2473,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1996.29709357306,512.2536461886531,10508.954392291496,15046.030338011247,7523.015169005624,6.62730061646862,3.31365030823431,0.6324319642864991,67.84,0.2353173410507401,12.608,240.00000000000003
2174,ICHR,8190.0,30959.366120089555,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,19.899999618530273,62.18000030517578,0.9388,38.5309405940594,34.62032849945291,843942.0,0.506,28060000.0,58.73,0.294,46.771176394294294,0.852,38.296044113425616,0.4062,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,875.971500238067,231.33615181845173,895.7684884338472,19095.57458607392,9547.78729303696,33.19738314795425,16.598691573977128,0.12030038984031265,256.64,2.045503154316998,0.7039999999999997,3.622222222222223
2205,UCTT,8190.0,28635.430413840528,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,14.920000076293945,65.01000213623047,1.0204,40.76722768273685,36.02635031372961,1114491.0,3.0869999999999997,40500000.0,63.64,0.29100000000000004,51.4455882801729,0.907,33.906307860094564,0.3469,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1072.8854399294735,269.50598012773384,1653.0874737435947,16848.029624368417,8424.014812184208,39.07008629082385,19.535043145411922,0.2096730087055645,274.23999999999995,1.896281042163036,0.6560000000000006,32.3
2601,FUTU,8190.0,24764.952742358022,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,10.140000343322754,191.0,1.3964,93.57683204424265,77.03211705005953,5309323.0,11.117,137260000.0,153.6,2.8160000000000003,147.80558866613052,0.48200000000000004,15.43613546578859,0.0724,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,2373.675003426437,439.8629767122677,10549.017359637062,7391.301358483758,3695.65067924188,9.24816753926701,4.624083769633505,0.4412679294547608,138.24,0.31362339603859696,41.056000000000004,121.52222222222224
1223,AMRS,8190.0,23336.056449870957,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,1.8899999856948853,22.6200008392334,1.5824,10.41891088462112,8.429051090330972,5846944.0,0.252,246820000.0,19.37,0.968,18.03470583523021,0.38299999999999995,18.424408240172795,0.1288,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,2994.0073836066026,483.47468950341903,6329.295566568644,8921.297018968471,4460.648509484236,18.145588447527615,9.072794223763808,0.6745770522924875,106.56,0.5923220159926704,11.488,0.8000000000000002
2235,LOB,8190.0,21161.461938071774,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,11.229999542236328,68.58000183105469,0.8986,49.94386125319075,44.88394149724584,334777.0,3.115,41330000.0,68.24,0.34299999999999997,59.19705873377183,0.4920000000000001,23.400795807461968,0.2745,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,758.8739822962473,230.87802261775602,2728.052969060868,11469.20745342053,5734.603726710265,41.82054567487061,20.910272837435304,0.35377453540212395,141.44,1.2220798072954508,1.4879999999999995,32.611111111111114
