,Ticker,N-Value Rating,Lwowski Rating,Primary Passed Tests,Secondary Passed Tests,SMA50_greater_SMA150_rule (1st),SMA150_greater_SMA200_rule (1st),week52_span_rule (1st),rs_value_rule (1st),liquidity_rule (1st),close_above_52weekhigh_rule (1st),prev_close_rule (1st),SMA200_slope_rule (1st),inst_ownership_rule (1st),close_greater_SMA50_rule (1st),sales_QoQ_yearly_rule (1st),eps_QoQ_yearly_rule (2nd),Double Bottom Chart Pattern,Inverse Head and Shoulder Pattern,Multiple Bottom Pattern,Channel Up Pattern,Channel Up Strong Pattern,Wedge Down Pattern,Wedge Down Strong Pattern,Channel Down Strong Pattern,Inst. Ownership,SMA50_percent,EPS_QoQ_percent,SMA150_value,SMA200_percent,Sales_QoQ_percent,Shares Outstanding,week52_low,volume,SMA200_value,week52_high,prev_close,SMA50_value,Relative Strength Value,SMA50_greater_SMA150_rule_nvalue,SMA150_greater_SMA200_rule_nvalue,week52_span_rule_nvalue,rs_value_rule_nvalue,liquidity_rule_nvalue,close_above_52weekhigh_rule_nvalue,prev_close_rule_nvalue,SMA200_slope_rul_nvalue,inst_ownership_rule_nvalue,close_greater_SMA50_rule_nvalue,sales_QoQ_yearly_rule_nvalue,eps_QoQ_yearly_rule_nvalue,SMA50_greater_SMA150_rule_score,SMA150_greater_SMA200_rule_score,week52_span_rule_score,rs_value_rule_score,liquidity_rule_score,close_above_52weekhigh_rule_score,prev_close_rule_score,SMA200_slope_rul_score,inst_ownership_rule_score,close_greater_SMA50_rule_score,sales_QoQ_yearly_rule_score,eps_QoQ_yearly_rule_score
2062,MARA,8190.0,129651.88305635154,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.109,0.5192,0.579,22.57623765256145,3.3059,7.667000000000002,98800000.0,0.41999998688697815,21188057.0,17.22423359773455,56.56000137329102,56.56,39.23885732378278,58.37894243986086,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,3023.094070130815,636.3652839524398,81715.20459216903,29378.01852920877,14689.009264604385,42.66666252283722,21.33333126141861,0.674562647452964,18.88,3.53142652107126,118.672,4.433333333333334
1587,VUZI,8190.0,61433.455978540354,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.238,0.5257999999999999,0.6859999999999999,12.602277212803907,2.442,1.1,57890000.0,1.4199999570846558,6520748.0,10.43029195374816,28.809999465942386,27.94,21.128285707746233,61.74966792243097,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,2771.128598869615,426.4718408910582,11441.3973287548,31103.829976284662,15551.914988142331,37.512903681363895,18.756451840681947,0.482484899938932,60.16,2.5791829536861663,13.6,5.622222222222222
820,KOPN,8190.0,53767.384675615984,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.184,0.2276,1.1740000000000002,5.55811882019043,2.1209,0.598,81690000.0,0.3499999940395355,10035376.0,4.452189790071362,13.5600004196167,11.26,9.857714298793248,36.45413773203967,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,3168.5438275235997,508.7255396737135,22779.61257055168,18152.51851880431,9076.259259402155,13.718776342116628,6.859388171058314,0.5163297307523618,42.88,1.1380209721666743,5.568,11.044444444444444
2149,PAND,8190.0,52625.02522946704,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.47,0.5007,0.596,27.98341347621037,1.6691999999999998,1.2,28470000.0,10.729999542236328,0.0,24.00406475890455,61.63000106811523,60.05,49.727222124735505,61.39596801487385,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,3182.6939304625603,339.51358883995323,2504.935160453711,30922.735623615405,15461.367811807702,38.29130546349272,19.14565273174636,0.4592293411380034,134.39999999999998,1.6607045291001186,15.2,4.622222222222222
2154,ICHR,8190.0,27112.332744165902,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.852,0.35340000000000005,0.506,38.860049483799706,0.8726999999999999,0.294,28060000.0,19.899999618530273,533227.0,34.90266425418157,62.18000030517578,62.18,47.16114273071289,33.26789400910393,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,874.967438050514,232.2093491555425,895.7684884338472,16521.161732661207,8260.580866330605,42.66666582904471,21.333332914522355,0.13098218040096318,256.64,2.547666387991288,0.7039999999999997,3.622222222222223
2595,FUTU,8190.0,23850.65657243964,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.482,0.0667,11.117,94.700792369276,1.3763,2.8160000000000003,137260000.0,10.140000343322754,5494859.0,77.8910221183387,191.0,148.0,147.81857169015066,14.352454948086278,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,2297.4509363122243,441.98173984180136,10549.017359637062,6836.456933420174,3418.228466710088,4.2443280977312385,2.12216404886562,0.32660317704655106,138.24,0.009818972421388995,41.056,121.52222222222224
2346,APPS,8190.0,22263.588625505585,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.65,0.0925,3.245,63.099009900990104,0.9537,1.461,89000000.0,4.139999866485597,2435732.0,55.61839412772744,94.73999786376952,81.82,80.53485717773438,10.824776443603596,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1131.8280676290606,275.4538555798453,13035.965353794178,5030.285539125042,2515.142769562521,19.39230506154316,9.696152530771576,0.2653658883881145,192.0,0.12766077867916487,19.376,34.05555555555556
2234,LOB,8190.0,21890.761889352805,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.4920000000000001,0.2792,3.115,50.238415708636296,0.9062,0.343,41330000.0,11.229999542236328,468415.0,45.213138566400005,69.34999847412111,68.56,59.48714272635323,24.30833820309355,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,754.0601217258587,227.62780717347061,2770.179946512711,11933.869159983897,5966.934579991948,40.72252233766121,20.361261168830605,0.2472357185819142,141.44,1.2201436287344058,1.4879999999999995,32.611111111111114
2152,LPX,8190.0,21484.192603041818,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.959,0.2669,6.374,42.18752471999368,0.6729999999999999,0.601,108000000.0,15.880000114440918,2079568.0,39.094306542055456,60.31000137329102,59.63,51.07285712105888,25.377809336132852,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,862.6797081914349,162.04177510100436,1309.4045703219795,12481.43838010002,6240.719190050008,40.74238271598301,20.371191357991506,0.1368008899759373,290.88,1.3403820912008877,5.6160000000000005,68.82222222222222
788,AR,8190.0,19480.72612955558,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.722,0.1463,1.162,7.089405947392532,1.0113,0.374,268670000.0,0.9399999976158142,4803475.0,6.112846719087473,10.859999656677246,10.13,9.737428610665457,15.67972993961746,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1529.9308445942722,327.17870927856524,6074.280644666085,7516.021729084139,3758.0108645420696,31.194602945530658,15.597301472765329,0.253796147089041,215.04,0.3225257139483892,1.984,10.911111111111113
2103,KLIC,8190.0,18729.914041287782,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.905,0.2304,2.669,39.327920668195965,0.7777,0.857,61970000.0,20.200000762939453,1029144.0,35.58956194968118,56.22000122070313,55.59,48.386000061035155,22.499938179230533,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,943.3982921724402,215.12371145065063,685.9785864054393,11007.968347766033,5503.984173883016,40.75417634296068,20.37708817148034,0.1710212204647748,273.6,1.1910883197416715,9.712,27.655555555555548
2127,UCTT,8190.0,17261.863428781202,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.907,0.1952,3.087,41.09178212609621,0.7970999999999999,0.29100000000000004,40500000.0,14.920000076293945,2125676.0,36.301824764613684,65.01000213623047,65.01,51.63885716029576,19.11688355105479,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1051.3250364151456,270.22974023825526,1653.0874737435947,9275.844378140053,4637.922189070026,42.66666105855529,21.33333052927765,0.1871341081121295,274.23999999999995,2.0714854781852288,0.6560000000000006,32.3
1040,HIMX,8190.0,17043.312900532568,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.161,0.1325,31.824,9.735544546996012,1.1515,0.5770000000000001,173770000.0,2.9600000381469727,2331699.0,8.13145984698386,15.949999809265135,14.18,13.213714272635324,17.224518027712893,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1463.3576095766034,404.00684839431716,2286.702620445681,8306.953230189003,4153.4766150945015,23.727483528091174,11.863741764045589,0.2877316390797334,35.52,0.5850199012495896,5.232000000000001,351.6
1693,SLQT,8190.0,13274.7005932739,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.603,0.1858,8.238999999999999,24.699703046590976,0.4225,3.816,162650000.0,16.850000381469727,3252175.0,23.284160641858183,32.279998779296875,31.02,28.655142865862164,16.57671860840835,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,655.9383110466542,124.50656433288604,153.02259946596502,7975.279927505075,3987.6399637525374,36.00496283151705,18.002481415758528,0.08511294253029911,176.95999999999995,0.6602255365350614,57.056,89.54444444444445
2301,INMD,8190.0,12671.192711144231,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.412,0.1424,0.879,57.764158532170974,0.7037,0.6,37600000.0,21.979999542236328,620939.0,52.67299281767685,79.73999786376953,79.74,70.76942858014787,14.218370090288547,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,922.1909826115727,197.95167932407267,1204.9470294736568,6767.805486227736,3383.902743113868,42.66667123881793,21.33333561940897,0.1740551076059456,115.84,1.014061760828577,5.6,7.7666666666666675
2251,ONTO,8190.0,11560.632372264554,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.977,0.1635,2.975,54.51425748768418,0.6323,0.581,48930000.0,28.32999992370605,187419.0,48.716277352214725,71.62000274658203,71.62,63.17571443830219,13.68053059395493,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,650.7898906583528,243.7432407158596,529.2414333216701,6492.431664104925,3246.2158320524627,42.66666012170742,21.33333006085371,0.1494578688300709,296.64,1.069307804339222,5.2959999999999985,31.055555555555557
2245,HIBB,8190.0,11250.638071552708,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.95,0.1077,2.989,55.43049485612625,0.6196,2.785,16540000.0,11.270000457763672,373447.0,52.390437801388934,76.04000091552734,71.55,67.43914239065988,9.741706468358547,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,887.3711199786188,118.8391834346716,3121.4280980367,4475.753711799576,2237.876855899788,32.58916166460062,16.29458083230031,0.2265963770425705,287.99999999999994,0.4876524182975918,40.56,31.211111111111112
2813,LRCX,8190.0,10921.383560957169,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.873,0.1795,0.738,518.8032670729232,0.5117,0.338,143830000.0,234.5200042724609,2309939.0,474.72124018982385,660.7999877929688,660.8,566.2642839704241,13.126215175760114,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,374.7091384157367,190.174745542221,707.1764672676794,6208.6221699891785,3104.3110849945892,42.666669819410856,21.333334909705428,0.08637977407297658,263.36,1.3355702445752475,1.4079999999999997,6.200000000000001
2397,DHI,8190.0,10290.720047398625,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.8270000000000001,0.1512,0.853,76.43643551061649,0.2888,0.476,364400000.0,36.540000915527344,2802847.0,75.74715295499259,93.37999725341795,92.64,82.43428562709263,12.825254058586856,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,321.4068514965493,18.636352903673234,546.1332478106207,6054.530077996468,3027.265038998234,41.31420502286735,20.657102511433674,0.05295893276640278,248.64,0.9904339482311892,3.616000000000001,7.477777777777778
2823,SAM,8190.0,9069.020691564336,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.87,0.1318,1.385,1017.4869282033184,0.3376,0.53,12180000.0,362.5400085449219,90439.0,1000.0262019025148,1225.300048828125,1211.08,1105.962850516183,10.482352261063664,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,356.16907475501,35.75863051989477,1052.5276445529694,4854.964357664597,2427.4821788322984,40.68601846898283,20.343009234491415,0.06052206212501465,262.4,0.7603665850783756,4.48,13.388888888888893
2810,UHAL,8190.0,7981.15046265117,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.368,0.1132,4.916,495.27564201732673,0.471,0.261,19610000.0,252.5399932861328,59074.0,460.1576631643477,621.2899780273438,621.29,585.6305681501116,9.295453650616592,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,747.2480898362842,156.29777888804603,487.52519461542494,4247.272269115695,2123.6361345578475,42.666672702495546,21.333336351247773,0.12563908137397478,101.76,0.4871252805334847,0.17600000000000016,52.62222222222224
2768,GNRC,8190.0,7853.886764592268,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.949,0.08800000000000001,0.784,267.8043555835686,0.5173,0.28800000000000003,62390000.0,89.63999938964844,784025.0,250.9948165782177,363.4700012207031,325.04,323.1162885393415,7.603370345574013,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,845.9820486980395,137.1579554999718,1467.253572852973,3380.925616933894,1690.462808466947,24.62193068761457,12.310965343807284,0.12512604130476468,287.68,0.04762895660518332,0.6080000000000005,6.711111111111113
1321,TGNA,8190.0,7837.9480371601185,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.91,0.1078,1.881,16.370495003048735,0.4309000000000001,0.35100000000000003,219940000.0,10.130000114440918,1388878.0,15.257007264742887,20.6200008392334,19.8,19.014571326119558,9.39882744157492,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,661.5643948018162,149.46724796547483,226.63458761117766,4300.199650086359,2150.0998250431794,35.87972174911078,17.93986087455539,0.1162956470219949,275.2,0.3304533814239737,1.6160000000000003,18.9
1562,VIVO,8190.0,7465.301930729032,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.935,0.1085,0.557,22.08247518067313,0.3149,0.264,42960000.0,8.670000076293945,817441.0,21.02131380651989,29.88999938964844,28.32,24.35971423557827,8.169058126778173,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,422.3969954715513,103.38357127763248,1094.156339492214,3670.5577609104243,1835.2788804552122,33.702244854306386,16.851122427153193,0.06152523649864373,283.2,1.3006017151506954,0.2240000000000002,4.18888888888889
2334,PINS,8190.0,7441.105065047008,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.742,0.1047,7.808,71.9342569785543,0.5387,0.764,618370000.0,15.0600004196167,11858649.0,65.48883184725351,89.1500015258789,79.53,75.5099996294294,6.301478146110482,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,203.60593843835602,201.5646072248213,2613.035817485992,2714.3568108085683,1357.1784054042841,24.25036194822641,12.125180974113205,0.14248331194718514,221.44,0.4259038951449114,8.224,84.75555555555556
2022,COHU,8190.0,7088.843645160389,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.8009999999999999,0.1295,1.9,40.04871306088892,0.7162000000000001,0.425,42120000.0,13.119999885559082,636620.0,34.550438080390876,50.54999923706055,49.62,43.63942881992885,7.158404503524697,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,367.24205660907546,325.91387506750215,1343.2194971156075,3153.103105804644,1576.551552902322,39.52680767186569,19.763403835932845,0.19587400520118547,240.32,1.0963610371252142,2.8,19.11111111111111
2660,MKSI,8190.0,7023.345943637295,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.977,0.14400000000000002,1.704,159.53722857484726,0.402,0.321,55100000.0,85.19999694824219,382704.0,147.3489786412594,196.8600006103516,196.86,171.03971470424108,8.529958442711848,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,295.31779890418164,169.40420011162772,395.61019609514676,3855.3387226684654,1927.6693613342327,42.666666137525844,21.333333068762922,0.08864590524088131,296.64,1.207686078775654,1.136,16.933333333333334
2047,KKR,8190.0,6934.301650800795,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.799,0.1104,1.6030000000000002,42.81049505554804,0.318,0.841,570880000.0,21.84000015258789,1792359.0,40.942919765945774,51.18000030517578,51.16,47.749714006696436,8.321666125338378,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,472.5719895939852,93.41771947311683,415.7890095149099,3748.6930561732497,1874.3465280866249,42.599972930904386,21.299986465452193,0.06491721371001001,239.68,0.5713602377304807,9.456,15.811111111111117
2001,BLDR,8190.0,6529.174427627979,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.674,0.1094,2.351,40.74811863663173,0.3958,0.435,206430000.0,12.8100004196167,1291840.0,38.58999980453157,48.04999923706055,47.58,44.37399989536831,6.834131608643457,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,364.47350534691253,114.5329720271755,1280.5994195317408,2987.07538362545,1493.537691812725,40.99729716825609,20.498648584128045,0.11929116528582755,199.68,0.5779961440828018,2.96,24.12222222222222
2563,EVR,8190.0,6227.817617887935,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.871,0.1062,1.025,113.5064358097492,0.5418999999999999,0.399,40890000.0,47.61000061035156,575953.0,103.12102227315417,142.41000366210938,137.61,129.14257223946709,6.615840936508398,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,564.2465500676353,206.25597433088825,813.7799858917897,2875.3105594923004,1437.6552797461502,36.91425739811779,18.45712869905889,0.18046129271108927,262.72,0.5245320803944903,2.3839999999999995,9.388888888888893
2316,WGO,8190.0,6112.744933879026,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.942,0.0903,3.0010000000000003,66.52851478652198,0.3119,0.34,33530000.0,30.559999465942386,698486.0,62.641021895582654,87.52999877929688,79.8,76.45228576660156,6.5713836457150565,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,610.9826149709987,127.09858810916307,735.7654512374393,2852.548426606109,1426.2742133030545,27.59465543167921,13.797327715839607,0.1089058058981532,285.44,0.3503062543996187,1.4400000000000004,31.344444444444452
1622,WSC,8190.0,5344.464896456776,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.78,0.1019,2.129,24.68227720732736,0.4234000000000001,0.62,229070000.0,8.449999809265138,1250272.0,22.829671525607143,29.190000534057607,29.09,26.97971420288086,5.39266617911327,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,381.25744455189596,166.1932118430732,1098.4067139576275,2249.045083705995,1124.5225418529974,42.08198843781267,21.040994218906327,0.11562233248158126,233.6,0.625740000431526,5.92,21.65555555555556
2473,WD,8190.0,5185.358974807946,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.778,0.0782,0.925,92.48316834704713,0.4592,0.61,30640000.0,27.95000076293945,226050.0,83.50576645788485,112.19000244140624,108.14,103.17085702078684,4.577311058326794,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,473.3485410379068,220.17304731017518,1442.1730096049844,1831.5832618633185,915.7916309316593,36.505686172636814,18.252843086318407,0.1478633310891772,232.96,0.3853136920796921,5.76,8.277777777777779
