,Ticker,N-Value Rating,Lwowski Rating,Primary Passed Tests,Secondary Passed Tests,SMA50_greater_SMA150_rule (1st),SMA150_greater_SMA200_rule (1st),week52_span_rule (1st),rs_value_rule (1st),liquidity_rule (1st),close_above_52weekhigh_rule (1st),prev_close_rule (1st),SMA200_slope_rule (1st),inst_ownership_rule (1st),close_greater_SMA50_rule (1st),sales_QoQ_yearly_rule (1st),eps_QoQ_yearly_rule (2nd),Double Bottom Chart Pattern,Inverse Head and Shoulder Pattern,Multiple Bottom Pattern,Channel Up Pattern,Channel Up Strong Pattern,Wedge Down Pattern,Wedge Down Strong Pattern,Channel Down Strong Pattern,SMA50_percent,volume,SMA150_value,EPS_QoQ_percent,Relative Strength Value,Sales_QoQ_percent,Shares Outstanding,SMA50_value,week52_low,prev_close,SMA200_percent,week52_high,Inst. Ownership,SMA200_value,SMA50_greater_SMA150_rule_nvalue,SMA150_greater_SMA200_rule_nvalue,week52_span_rule_nvalue,rs_value_rule_nvalue,liquidity_rule_nvalue,close_above_52weekhigh_rule_nvalue,prev_close_rule_nvalue,SMA200_slope_rul_nvalue,inst_ownership_rule_nvalue,close_greater_SMA50_rule_nvalue,sales_QoQ_yearly_rule_nvalue,eps_QoQ_yearly_rule_nvalue,SMA50_greater_SMA150_rule_score,SMA150_greater_SMA200_rule_score,week52_span_rule_score,rs_value_rule_score,liquidity_rule_score,close_above_52weekhigh_rule_score,prev_close_rule_score,SMA200_slope_rul_score,inst_ownership_rule_score,close_greater_SMA50_rule_score,sales_QoQ_yearly_rule_score,eps_QoQ_yearly_rule_score
1063,MARA,8190.0,113351.75714240725,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.314,20970797.0,22.808431384610195,0.579,37.258380182423785,7.6670000000000025,98800000.0,39.43388901816474,0.41999998688697815,52.45,2.7189,56.56000137329102,0.109,17.547883220832713,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,2985.644795941027,613.9545439090879,81715.20459216903,18564.29065340097,9282.145326700489,30.264965511365126,15.132482755682569,0.4938547593251563,18.88,2.6405939268814294,118.67200000000001,4.433333333333334
885,VUZI,8190.0,62192.834005247285,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.5439,11807402.0,12.762450970855413,0.6859999999999999,63.46561713804921,1.1,57890000.0,21.345277786254886,1.4900000095367432,28.12,2.4873,28.940000534057607,0.23800000000000002,10.606934295083486,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,2754.5852059418266,416.18982725546965,10909.38000961035,31982.3959746812,15991.197987340598,37.83091147558415,18.915455737792076,0.4173117841603939,60.16,2.5390991980840445,13.6,5.622222222222222
512,KOPN,8190.0,47163.10952450338,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.1612,10146058.0,5.6060784377303765,1.1740000000000002,28.81136521006624,0.598,81690000.0,9.874166674084133,0.36000001430511475,10.89,1.9548,13.5600004196167,0.184,4.518613146169343,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,3118.4168416991706,492.87886461469907,22118.399796549482,14239.418987553916,7119.709493776958,9.061942661247796,4.530971330623898,0.3771588395446561,42.88,0.8230230332911328,5.568,11.044444444444444
1150,ICHR,8190.0,25073.004569333607,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.32880000000000004,279310.0,39.065833297430295,0.506,30.616555596916786,0.294,28060000.0,47.51361094580757,19.899999618530273,60.42,0.8445999999999999,62.18000030517578,0.852,35.1833941745062,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,885.7381073714188,225.9939812603416,895.7684884338472,15163.67646562139,7581.8382328106945,37.835959301879726,18.917979650939863,0.0960477199807163,256.64,2.1730849408878705,0.7039999999999997,3.622222222222223
1156,LPX,8190.0,20356.18484221481,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.25120000000000003,1195467.0,42.36284310209985,6.374,23.91552433799389,0.601,108000000.0,51.32277774810791,15.9399995803833,60.31,0.6579999999999999,60.31000137329102,0.9590000000000001,39.305547421866095,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,866.3226927805008,159.29918201916453,1300.6214441154316,11732.748461052872,5866.374230526436,42.66666278049532,21.333331390247658,0.0997211987579382,290.88,1.4008941286851402,5.6160000000000005,68.82222222222222
1433,FUTU,8190.0,20198.408539870463,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.0287,2990727.0,95.18392181396484,11.117,9.66262652719967,2.8160000000000003,137260000.0,147.71194458007812,10.140000343322754,148.26,1.2845,191.0,0.48200000000000004,78.72094908944011,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,2260.4109722492412,428.2998176447221,10549.017359637062,4435.264781926231,2217.6323909631155,4.476649214659678,2.238324607329839,0.2203390171418505,138.24,0.029682388731928293,41.056000000000004,121.52222222222224
1201,LOB,8190.0,19806.944530063905,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.2494,363966.0,50.414999868355544,3.115,21.59732050281657,0.34299999999999997,41330000.0,59.73055542839898,11.229999542236328,69.35,0.862,69.34999847412111,0.4920000000000001,45.520364844886046,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,756.8484711608215,220.213800179848,2770.179946512711,10545.828097442087,5272.914048721043,42.66667042177368,21.33333521088684,0.13267091804037562,141.44,1.2883783855828586,1.4879999999999995,32.611111111111114
1268,APPS,8190.0,18298.315593593583,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.042800000000000005,3542557.0,63.2817646849389,3.245,5.6767764949510395,1.4609999999999999,89000000.0,80.56833330790201,4.139999866485597,85.25,0.8573000000000001,94.73999786376952,0.65,55.97569337552482,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1118.897133039476,267.3094898762349,13035.965353794178,2394.5095654149327,1197.2547827074663,25.571180719830785,12.785590359915393,0.1260779293664482,192.0,0.4648641966273671,19.375999999999998,34.05555555555556
620,HIMX,8190.0,18241.129047583723,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.1489,9821273.0,9.78499998999577,31.824,18.807394647286824,0.5770000000000001,173770000.0,13.257222202089098,2.9600000381469727,14.44,1.1842,15.949999809265135,0.161,8.21343064830251,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1453.4718646167746,391.8671928462668,2286.702620445681,9117.386059410854,4558.693029705427,26.50951072959354,13.25475536479677,0.17827351324352753,35.52,0.713740951086732,5.232000000000001,351.6
658,AMRS,8190.0,16157.484320694599,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.0444,3504743.0,10.642352938652039,0.252,9.315257674098953,0.968,246820000.0,18.007777743869358,1.8899999856948853,18.23,1.3877000000000002,22.6200008392334,0.38299999999999995,8.643503647651116,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,2834.7847676240776,473.6092578710652,6329.295566568644,4257.411929138664,2128.705964569332,9.544350924028311,4.772175462014156,0.4135857474143663,106.56,0.09872278935974614,11.488,0.8000000000000002
1122,KLIC,8190.0,15842.918615954917,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.1931,1123258.0,39.48107831618365,2.6689999999999996,18.745580522215565,0.857,61970000.0,48.56833341386582,20.200000762939453,56.22,0.7284999999999999,56.22000122070313,0.905,35.821459763241506,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,942.7654579750633,209.22929567812992,685.9785864054393,9085.737227374377,4542.868613687188,42.66666296098668,21.33333148049334,0.111530026508146,273.6,1.2603548111782128,9.712,27.655555555555548
1135,UCTT,8190.0,14395.178441152108,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.1617,938228.0,41.2469607147516,3.0869999999999997,15.46763592601157,0.29100000000000004,40500000.0,51.785555521647126,15.050000190734865,58.21,0.7476999999999999,65.01000213623047,0.907,36.56868606066182,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1046.5276369709864,262.0030283746672,1629.9631100529375,7407.429594117923,3703.7147970589617,24.815049072735015,12.407524536367507,0.12923201920540106,274.23999999999995,0.992468948321677,0.6560000000000006,32.3
1259,INMD,8190.0,13728.056263144848,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.1591,660834.0,57.980098163380354,0.879,15.607567608116634,0.6,37600000.0,71.02000003390843,21.979999542236328,78.22,0.7290000000000001,79.79000091552734,0.41200000000000003,52.99102201252958,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,921.2029602153578,192.8180957620787,1206.3447490205094,7479.074615355717,3739.537307677858,39.30851627385819,19.654258136929094,0.09805489617578113,115.84,0.8110391396963053,5.6,7.7666666666666675
1581,LRCX,8190.0,11291.129344536608,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.187,1465050.0,520.1755882711972,0.738,13.60912168165338,0.33799999999999997,143830000.0,568.8341657850477,234.5200042724609,652.48,0.5204,660.7999877929688,0.873,477.2874448456033,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,383.1504937767717,184.02939085068482,707.1764672676794,6455.870301006531,3227.9351505032646,40.51784007834323,20.258920039171613,0.04639831078227409,263.36,1.1763827033773573,1.4079999999999997,6.200000000000001
1217,ONTO,8190.0,10397.449276609752,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.1501,159224.0,54.67627458011402,2.975,12.173094059490008,0.581,48930000.0,63.39416684044732,28.32999992370605,71.55,0.6138,71.62000274658203,0.977,49.01948903772953,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,653.0892415869257,236.3365473248116,529.2414333216701,5720.624158458884,2860.312079229442,42.4998538356348,21.2499269178174,0.07525847219771717,296.64,1.0292219068141797,5.295999999999999,31.055555555555557
1589,SAM,8190.0,9455.267076701406,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.1349,79518.0,1019.6227422976027,1.385,10.984781670248143,0.53,12180000.0,1109.556659274631,366.3200073242188,1225.3,0.3435,1235.3399658203125,0.87,1002.6391944606806,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,361.28001922341474,34.69075033389762,1047.9394513667346,5112.20821516705,2556.104107583525,41.27960921899299,20.639804609496494,0.021710757779226358,262.4,0.8345195516273007,4.48,13.388888888888893
1308,DHI,8190.0,8776.381740697698,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.1319,2274811.0,76.59068612491383,0.853,10.84317434915778,0.47600000000000003,364400000.0,82.70472208658855,36.540000915527344,93.38,0.26890000000000003,93.37999725341795,0.8270000000000001,75.88934270482865,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,326.9730637766605,18.926917445064227,546.1332478106207,5039.705266768784,2519.852633384392,42.66667168647833,21.333335843239173,0.024210156253870824,248.64,1.0326160484268223,3.616000000000001,7.477777777777778
1579,UHAL,8190.0,7973.34189936722,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.113,49370.0,496.4689199410233,4.916,9.299199704988137,0.261,19610000.0,586.5016632080077,252.5399932861328,613.98,0.4729,621.2899780273438,0.368,461.9086849463247,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,742.7939627426754,153.2323672965091,487.52519461542494,4249.190248953926,2124.595124476963,40.658635590269,20.3293177951345,0.08401566395485349,101.76,0.37481001014309867,0.17600000000000016,52.62222222222224
1205,HIBB,8190.0,7950.4809441440075,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.0664,469510.0,55.56313705444336,2.989,5.5884723729108465,2.785,16540000.0,67.48138840993245,11.539999961853027,71.25,0.5585,76.04000091552734,0.95,52.60160568682817,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,878.5889375585467,115.30477371710144,3024.4381903757067,2349.297854930353,1174.6489274651767,31.91583184630041,15.957915923150205,0.11062776641626228,287.99999999999994,0.4467734501458901,40.56,31.211111111111112
1274,PINS,8190.0,7633.134298807137,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.1084,9843117.0,72.05058782240924,7.808,6.539632711985277,0.764,618370000.0,75.74027750227187,15.0600004196167,83.29,0.5396,89.1500015258789,0.742,65.83131361355747,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,209.7549705766156,193.48047123132787,2613.035817485992,2836.291948536462,1418.145974268231,31.448417536373423,15.724208768186712,0.03550206925065638,221.44,0.7974327791446693,8.224,84.75555555555556
1486,MKSI,8190.0,6842.004637485456,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.1451,290969.0,159.8682361677581,1.704,8.298313713928174,0.321,55100000.0,171.65805604722766,85.19999694824219,192.93,0.4005,196.8600006103516,0.977,147.97649689834483,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,302.0681492703334,164.58209603710932,395.61019609514676,3736.736621531225,1868.3683107656125,39.25957481414639,19.629787407073195,0.04920461277633242,296.64,0.991363618701117,1.136,16.933333333333334
727,TGNA,8190.0,6141.280385789294,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.086,1552887.0,16.405097989475028,1.881,7.191978511879249,0.35100000000000003,219940000.0,19.039166556464306,10.130000114440918,20.2,0.4052,20.6200008392334,0.91,15.310218943296555,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,657.6702472188856,146.4585382402565,226.63458761117766,3170.2929980821755,1585.1464990410877,39.19042319858775,19.59521159929388,0.08811430234054761,275.2,0.4877664954893999,1.6160000000000003,18.9
1415,EVR,8190.0,5692.670580796163,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.099,357117.0,113.73686285579906,1.025,5.930389088410126,0.39899999999999997,40890000.0,129.36111174689398,47.61000061035156,137.4,0.5307999999999999,142.41000366210938,0.871,103.63678866755352,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,562.6753002591878,199.5908229449304,813.7799858917897,2524.359213265985,1262.1796066329925,36.66258968462599,18.331294842313,0.10173434303895017,262.72,0.4971440424126714,2.3839999999999995,9.388888888888893
1546,GNRC,8190.0,5525.654379051131,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.0593,565588.0,268.3750970877853,0.784,4.581587210172078,0.28800000000000003,62390000.0,323.19694688585065,89.63999938964844,333.64,0.4752,363.4700012207031,0.9490000000000001,252.04109392374968,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,836.7031785345773,132.72454090389405,1467.253572852973,1833.7726516081038,916.8863258040519,28.660044777921858,14.330022388960929,0.06643721395433214,287.68,0.25849385558305144,0.6080000000000005,6.711111111111113
1087,COHU,8190.0,5328.804698640017,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.109,463142.0,40.1355884215411,1.9,4.87257496569018,0.425,42120000.0,43.78583357069228,13.119999885559082,49.78,0.6769,50.54999923706055,0.8009999999999999,34.77927019996365,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,372.5223603025257,315.41029051846215,1343.2194971156075,1982.758382433372,991.379191216686,40.06699890982416,20.03349945491208,0.08818844024959864,240.32,1.0951791372668764,2.8,19.11111111111111
1067,BLDR,8190.0,4436.288378834449,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.0814,1718494.0,40.80892140257593,2.351,4.141399883716201,0.435,206430000.0,44.44555547502305,12.949999809265135,48.05,0.3587,48.04999923706055,0.674,38.70124069269556,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,365.0097245599637,111.53466960168232,1255.6849394645094,1608.396740462695,804.1983702313478,42.66666937651755,21.333334688258773,0.05292443117559094,199.68,0.6487837960765316,2.96,24.12222222222222
884,WSC,8190.0,4172.813317898592,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.0868,851294.0,24.723333321365647,2.129,3.870450140362536,0.62,229070000.0,27.03222216500176,8.449999809265138,29.19,0.4029,29.190000534057607,0.78,22.91609488438516,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,382.5215872230576,161.5120000859328,1098.4067139576275,1469.6704718656185,734.8352359328093,42.666663544164734,21.333331772082367,0.053178470402002784,233.6,0.6385794913425603,5.92,21.65555555555556
1489,QRVO,8190.0,3531.5235296577234,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.1018,845194.0,169.4392152674058,0.276,4.146747238790494,0.26,113810000.0,177.47194247775607,81.18000030517578,194.98,0.3118,198.32000732421875,0.87,160.09437917444828,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,194.18202924080697,119.543386951286,476.95851246543253,1611.1345862607327,805.5672931303664,39.79238320753603,19.896191603768013,0.033259828344431065,262.4,0.7892203027839553,0.16000000000000014,1.066666666666667
1267,CROX,8190.0,3399.6788201836853,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.0518,1332566.0,71.00686282737583,8.436,1.5728414813578118,0.565,66730000.00000001,78.97694481743707,17.889999389648438,82.17,0.4475,84.80000305175781,0.94,65.45649646842567,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,459.75071326070196,173.65961999834667,1888.3042846578799,293.2948384551996,146.6474192275998,37.37357895424397,18.686789477121984,0.06480106648493263,284.7999999999999,0.323441752774204,5.039999999999999,91.73333333333332
1294,SPB,8190.0,3124.656029482254,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.0823,202518.0,77.286470450607,3.0810000000000004,3.2779058866307715,0.314,42900000.0,83.39722188313802,35.40999984741211,89.24,0.3375,89.23999786376953,0.9990000000000001,72.82664228007741,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,323.85536202799216,125.4173995571294,524.4059566158712,1166.2878139549553,583.1439069774776,42.666670752091825,21.333335376045913,0.04777388489354188,303.68,0.5604770024641142,1.024,32.23333333333333
