,Ticker,N-Value Rating,Lwowski Rating,Primary Passed Tests,Secondary Passed Tests,SMA50_greater_SMA150_rule (1st),SMA150_greater_SMA200_rule (1st),week52_span_rule (1st),rs_value_rule (1st),liquidity_rule (1st),close_above_52weekhigh_rule (1st),prev_close_rule (1st),SMA200_slope_rule (1st),inst_ownership_rule (1st),close_greater_SMA50_rule (1st),sales_QoQ_yearly_rule (1st),eps_QoQ_yearly_rule (2nd),SMA200_percent,Relative Strength Value,week52_low,Sales_QoQ_percent,EPS_QoQ_percent,volume,SMA150_value,Inst. Ownership,week52_high,SMA50_percent,SMA200_value,SMA50_value,Shares Outstanding,prev_close,SMA50_greater_SMA150_rule_nvalue,SMA150_greater_SMA200_rule_nvalue,week52_span_rule_nvalue,rs_value_rule_nvalue,liquidity_rule_nvalue,close_above_52weekhigh_rule_nvalue,prev_close_rule_nvalue,SMA200_slope_rul_nvalue,inst_ownership_rule_nvalue,close_greater_SMA50_rule_nvalue,sales_QoQ_yearly_rule_nvalue,eps_QoQ_yearly_rule_nvalue,SMA50_greater_SMA150_rule_score,SMA150_greater_SMA200_rule_score,week52_span_rule_score,rs_value_rule_score,liquidity_rule_score,close_above_52weekhigh_rule_score,prev_close_rule_score,SMA200_slope_rul_score,inst_ownership_rule_score,close_greater_SMA50_rule_score,sales_QoQ_yearly_rule_score,eps_QoQ_yearly_rule_score
101,BGFV,8190.0,49031.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,1.53,56.0,1.17,0.25,5.42,1238132.0,15.43,0.38,31.0,0.62,13.74,19.49,21420000.0,26.62,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1078.0,252.0,15255.0,28160.0,0.0,19.0,4096.0,0.0,106.0,3.0,4.0,58.0
458,BNTX,8190.0,27994.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.87,42.0,46.87,2.18,2.37,2958138.0,121.09,0.11,209.0,0.42,116.71,151.16,314430000.0,180.79,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1017.0,77.0,1716.0,20992.0,0.0,20.0,4096.0,0.0,19.0,2.0,31.0,24.0
141,HOME,8190.0,22738.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.69,20.0,2.71,0.41,1.31,1567984.0,25.89,0.98,38.0,0.21,23.6,30.78,64879999.99999999,36.26,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,774.0,199.0,7591.0,9728.0,0.0,35.0,4096.0,0.0,298.0,1.0,3.0,13.0
253,STLD,8190.0,17349.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.64,23.0,22.25,0.38,1.32,3465744.0,45.43,0.85,64.0,0.23,42.87,54.41,211010000.0,63.67,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,810.0,122.0,743.0,11264.0,0.0,42.0,4096.0,0.0,256.0,1.0,2.0,13.0
191,OLN,8190.0,17347.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.89,20.0,9.79,0.35,3.99,984681.0,33.33,0.87,47.0,0.18,30.2,41.82,158600000.0,44.99,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1043.0,212.0,1926.0,9728.0,0.0,35.0,4096.0,0.0,262.0,1.0,2.0,42.0
362,CROX,8190.0,15262.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.59,17.0,22.78,0.64,8.19,701151.0,78.98,0.97,109.0,0.2,73.85,88.56,65459999.99999999,100.29,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,497.0,142.0,1916.0,8192.0,0.0,29.0,4096.0,0.0,294.0,1.0,6.0,89.0
387,MTZ,8190.0,15129.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.7,18.0,32.44,0.25,0.85,768807.0,89.06,0.86,118.0,0.2,80.86,102.06,72440000.0,116.79,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,598.0,208.0,1211.0,8704.0,0.0,41.0,4096.0,0.0,259.0,1.0,4.0,7.0
477,EFX,8190.0,14695.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.36,20.0,136.6,0.27,0.78,466506.0,189.28,0.93,240.0,0.22,182.7,208.28,121800000.0,237.02,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,411.0,74.0,55.0,9728.0,0.0,41.0,4096.0,0.0,282.0,1.0,0.0,7.0
309,CCS,8190.0,14609.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.57,17.0,22.92,0.67,2.84,677546.0,57.83,0.93,80.0,0.19,54.11,67.84,33560000.0,74.1,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,709.0,141.0,1121.0,8192.0,0.0,30.0,4096.0,0.0,282.0,1.0,7.0,30.0
492,MED,8190.0,13852.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.46,17.0,88.29,0.91,1.21,157770.0,235.38,0.88,297.0,0.24,221.05,238.89,11770000.0,286.39,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,61.0,133.0,1043.0,8192.0,0.0,37.0,4096.0,0.0,266.0,2.0,11.0,11.0
167,FCX,8190.0,13548.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.65,13.0,8.29,0.73,2.42,21451491.0,33.24,0.77,45.0,0.16,30.21,37.27,1460000000.0,41.97,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,497.0,205.0,2311.0,6144.0,0.0,31.0,4096.0,0.0,230.0,1.0,8.0,25.0
187,DISH,8190.0,13488.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.36,17.0,24.62,0.4,6.91,1845643.0,35.53,0.85,47.0,0.17,34.65,40.73,526570000.00000006,44.62,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,599.0,52.0,149.0,8192.0,0.0,34.0,4096.0,32.0,256.0,1.0,2.0,75.0
86,X,8190.0,12436.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.66,12.0,6.66,0.33,1.15,24587585.0,20.75,0.52,29.0,0.1,18.72,24.04,269660000.0,25.72,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,649.0,222.0,1651.0,5632.0,0.0,23.0,4096.0,0.0,150.0,1.0,1.0,11.0
250,ATH,8190.0,12306.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.44,14.0,24.49,1.44,0.91,1334009.0,49.05,0.89,63.0,0.15,46.92,55.87,191720000.0,60.88,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,570.0,93.0,557.0,6656.0,0.0,37.0,4096.0,0.0,269.0,1.0,19.0,8.0
264,LPX,8190.0,12293.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.58,11.0,19.2,0.74,9.27,2025227.0,50.6,0.97,74.0,0.09,46.22,64.34,106000000.0,65.79,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1112.0,194.0,1344.0,5120.0,0.0,24.0,4096.0,0.0,294.0,0.0,8.0,101.0
326,HES,8190.0,12123.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.51,14.0,36.12,0.4,1.1,1948176.0,65.94,0.85,84.0,0.16,60.89,73.89,305800000.0,79.46,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,494.0,170.0,405.0,6656.0,0.0,33.0,4096.0,0.0,256.0,1.0,2.0,10.0
