,Ticker,N-Value Rating,Lwowski Rating,Primary Passed Tests,Secondary Passed Tests,SMA50_greater_SMA150_rule (1st),SMA150_greater_SMA200_rule (1st),week52_span_rule (1st),rs_value_rule (1st),liquidity_rule (1st),close_above_52weekhigh_rule (1st),prev_close_rule (1st),SMA200_slope_rule (1st),inst_ownership_rule (1st),close_greater_SMA50_rule (1st),sales_QoQ_yearly_rule (1st),eps_QoQ_yearly_rule (2nd),week52_high,SMA200_value,SMA150_value,prev_close,volume,Sales_QoQ_percent,Inst. Ownership,SMA50_percent,week52_low,EPS_QoQ_percent,Relative Strength Value,SMA50_value,Shares Outstanding,SMA200_percent,SMA50_greater_SMA150_rule_nvalue,SMA150_greater_SMA200_rule_nvalue,week52_span_rule_nvalue,rs_value_rule_nvalue,liquidity_rule_nvalue,close_above_52weekhigh_rule_nvalue,prev_close_rule_nvalue,SMA200_slope_rul_nvalue,inst_ownership_rule_nvalue,close_greater_SMA50_rule_nvalue,sales_QoQ_yearly_rule_nvalue,eps_QoQ_yearly_rule_nvalue,SMA50_greater_SMA150_rule_score,SMA150_greater_SMA200_rule_score,week52_span_rule_score,rs_value_rule_score,liquidity_rule_score,close_above_52weekhigh_rule_score,prev_close_rule_score,SMA200_slope_rul_score,inst_ownership_rule_score,close_greater_SMA50_rule_score,sales_QoQ_yearly_rule_score,eps_QoQ_yearly_rule_score
103,BGFV,8190.0,49037.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,31.0,13.74,15.43,26.62,1238132.0,0.25,0.4,0.62,1.17,5.42,56.0,19.49,21420000.0,1.53,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1078.0,252.0,15255.0,28160.0,0.0,19.0,4096.0,0.0,112.0,3.0,4.0,58.0
84,FNKO,8190.0,23046.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,25.0,14.06,15.98,23.24,1526695.0,0.38,0.74,0.24,4.22,2.46,29.0,21.59,36190000.0,1.15,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1438.0,280.0,2616.0,14336.0,0.0,31.0,4096.0,0.0,221.0,1.0,2.0,25.0
142,HOME,8190.0,22744.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,38.0,23.6,25.89,36.26,1567984.0,0.41,1.0,0.21,2.71,1.31,20.0,30.78,64879999.99999999,0.69,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,774.0,199.0,7591.0,9728.0,0.0,35.0,4096.0,0.0,304.0,1.0,3.0,13.0
367,NUE,8190.0,22586.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,103.0,63.45,67.15,100.8,3950486.0,0.25,0.82,0.3,37.49,45.35,32.0,84.24,301850000.0,0.77,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1042.0,119.0,664.0,15872.0,0.0,39.0,4096.0,0.0,246.0,2.0,4.0,502.0
192,OLN,8190.0,17351.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,47.0,30.2,33.33,44.99,984681.0,0.35,0.88,0.18,9.79,3.99,20.0,41.82,158600000.0,0.89,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1043.0,212.0,1926.0,9728.0,0.0,35.0,4096.0,0.0,266.0,1.0,2.0,42.0
255,STLD,8190.0,17346.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,64.0,42.87,45.43,63.67,3465744.0,0.38,0.84,0.23,22.25,1.32,23.0,54.41,211010000.0,0.64,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,810.0,122.0,743.0,11264.0,0.0,42.0,4096.0,0.0,253.0,1.0,2.0,13.0
305,LOVE,8190.0,15649.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,80.0,50.9,58.02,73.57,328813.0,0.41,0.99,0.18,13.66,2.27,16.0,67.31,14880000.0,0.72,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,656.0,286.0,2574.0,7680.0,0.0,29.0,4096.0,0.0,301.0,1.0,3.0,23.0
262,KTB,8190.0,15588.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,67.0,46.79,49.26,61.35,364705.0,0.29,0.92,0.15,13.84,7.91,17.0,59.47,57340000.0,0.65,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,849.0,108.0,1950.0,8192.0,0.0,28.0,4096.0,0.0,278.0,0.0,1.0,86.0
365,CROX,8190.0,15266.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,109.0,73.85,78.98,100.29,701151.0,0.64,0.98,0.2,22.78,8.19,17.0,88.56,65459999.99999999,0.59,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,497.0,142.0,1916.0,8192.0,0.0,29.0,4096.0,0.0,298.0,1.0,6.0,89.0
389,MTZ,8190.0,15123.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,118.0,80.86,89.06,116.79,768807.0,0.25,0.84,0.2,32.44,0.85,18.0,102.06,72440000.0,0.7,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,598.0,208.0,1211.0,8704.0,0.0,41.0,4096.0,0.0,253.0,1.0,4.0,7.0
