,Ticker,N-Value Rating,Lwowski Rating,Primary Passed Tests,Secondary Passed Tests,SMA50_greater_SMA150_rule (1st),SMA150_greater_SMA200_rule (1st),week52_span_rule (1st),rs_value_rule (1st),liquidity_rule (1st),close_above_52weekhigh_rule (1st),prev_close_rule (1st),SMA200_slope_rule (1st),inst_ownership_rule (1st),close_greater_SMA50_rule (1st),sales_QoQ_yearly_rule (1st),eps_QoQ_yearly_rule (2nd),SMA50_percent,SMA200_value,Inst. Ownership,EPS_QoQ_percent,week52_high,SMA50_value,SMA200_percent,week52_low,volume,Shares Outstanding,SMA150_value,prev_close,Relative Strength Value,Sales_QoQ_percent,SMA50_greater_SMA150_rule_nvalue,SMA150_greater_SMA200_rule_nvalue,week52_span_rule_nvalue,rs_value_rule_nvalue,liquidity_rule_nvalue,close_above_52weekhigh_rule_nvalue,prev_close_rule_nvalue,SMA200_slope_rul_nvalue,inst_ownership_rule_nvalue,close_greater_SMA50_rule_nvalue,sales_QoQ_yearly_rule_nvalue,eps_QoQ_yearly_rule_nvalue,SMA50_greater_SMA150_rule_score,SMA150_greater_SMA200_rule_score,week52_span_rule_score,rs_value_rule_score,liquidity_rule_score,close_above_52weekhigh_rule_score,prev_close_rule_score,SMA200_slope_rul_score,inst_ownership_rule_score,close_greater_SMA50_rule_score,sales_QoQ_yearly_rule_score,eps_QoQ_yearly_rule_score
117,BGFV,8190.0,53297.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.72,13.99,0.4,5.42,31.0,20.09,1.71,1.24,1546716.0,21420000.0,15.78,28.11,66.0,0.25,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1119.0,262.0,14336.0,33280.0,0.0,27.0,4096.0,0.0,112.0,3.0,4.0,58.0
394,NUE,8190.0,24636.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.33,64.11,0.82,45.35,106.0,85.33,0.83,38.8,5131461.0,301850000.0,67.86,102.51,36.0,0.25,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1054.0,120.0,655.0,17920.0,0.0,37.0,4096.0,0.0,246.0,2.0,4.0,502.0
94,FNKO,8190.0,23617.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.25,14.3,0.74,2.46,25.0,21.78,1.18,4.78,1883177.0,36190000.0,16.2,24.67,31.0,0.38,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1411.0,272.0,2189.0,15360.0,0.0,40.0,4096.0,0.0,221.0,1.0,2.0,25.0
158,HOME,8190.0,22793.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.24,23.75,1.0,1.31,38.0,31.14,0.74,3.53,2546367.0,64879999.99999999,26.29,36.3,24.0,0.41,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,756.0,219.0,5590.0,11776.0,0.0,35.0,4096.0,0.0,304.0,1.0,3.0,13.0
272,STLD,8190.0,17748.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.23,43.29,0.84,1.32,65.0,55.02,0.65,24.19,2916405.0,211010000.0,45.83,63.76,24.0,0.38,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,821.0,120.0,627.0,11776.0,0.0,39.0,4096.0,0.0,253.0,1.0,2.0,13.0
200,OLN,8190.0,17343.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.18,30.62,0.88,3.99,47.0,42.22,0.89,9.79,700969.0,158600000.0,33.72,46.79,20.0,0.35,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1033.0,207.0,1926.0,9728.0,0.0,42.0,4096.0,0.0,266.0,1.0,2.0,42.0
49,SM,8190.0,16799.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.07,11.02,0.83,0.4,19.0,16.99,1.25,1.4,3099716.0,114760000.0,13.51,17.64,8.0,0.25,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1055.0,463.0,7314.0,3584.0,0.0,30.0,4096.0,1.0,250.0,0.0,4.0,2.0
14,ET,8190.0,16336.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.25,7.23,0.38,4.82,10.0,8.52,0.52,5.11,15831754.0,2700000000.0,7.63,10.11,23.0,0.46,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,478.0,113.0,178.0,11264.0,0.0,45.0,4096.0,0.0,106.0,1.0,3.0,52.0
324,LOVE,8190.0,16176.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.18,51.55,0.99,2.27,80.0,68.29,0.72,13.66,271675.0,14880000.0,58.73,75.91,17.0,0.41,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,667.0,285.0,2574.0,8192.0,0.0,34.0,4096.0,0.0,301.0,1.0,3.0,23.0
387,CROX,8190.0,16042.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,0.21,74.51,0.98,8.19,109.0,89.53,0.61,25.01,1097398.0,65459999.99999999,79.63,101.98,19.0,0.64,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,509.0,141.0,1654.0,9216.0,0.0,32.0,4096.0,0.0,298.0,1.0,6.0,89.0
