,Ticker,N-Value Rating,Lwowski Rating,Primary Passed Tests,Secondary Passed Tests,SMA50_greater_SMA150_rule (1st),SMA150_greater_SMA200_rule (1st),week52_span_rule (1st),rs_value_rule (1st),liquidity_rule (1st),close_above_52weekhigh_rule (1st),prev_close_rule (1st),SMA200_slope_rule (1st),inst_ownership_rule (1st),close_greater_SMA50_rule (1st),sales_QoQ_yearly_rule (1st),eps_QoQ_yearly_rule (2nd),week52_low,EPS_QoQ_percent,Sales_QoQ_percent,week52_high,Relative Strength Value,SMA200_value,Shares Outstanding,SMA50_value,SMA200_percent,Inst. Ownership,SMA150_value,SMA50_percent,volume,prev_close,SMA50_greater_SMA150_rule_nvalue,SMA150_greater_SMA200_rule_nvalue,week52_span_rule_nvalue,rs_value_rule_nvalue,liquidity_rule_nvalue,close_above_52weekhigh_rule_nvalue,prev_close_rule_nvalue,SMA200_slope_rul_nvalue,inst_ownership_rule_nvalue,close_greater_SMA50_rule_nvalue,sales_QoQ_yearly_rule_nvalue,eps_QoQ_yearly_rule_nvalue,SMA50_greater_SMA150_rule_score,SMA150_greater_SMA200_rule_score,week52_span_rule_score,rs_value_rule_score,liquidity_rule_score,close_above_52weekhigh_rule_score,prev_close_rule_score,SMA200_slope_rul_score,inst_ownership_rule_score,close_greater_SMA50_rule_score,sales_QoQ_yearly_rule_score,eps_QoQ_yearly_rule_score
120,BGFV,8190.0,48702.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,1.24,5.42,0.25,31.0,57.0,14.15,21420000.0,20.33,1.54,0.4,15.97,0.6,1596755.0,30.36,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1118.0,263.0,14336.0,28672.0,0.0,39.0,4096.0,0.0,112.0,4.0,4.0,58.0
101,FNKO,8190.0,25256.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,4.78,2.46,0.38,26.0,34.0,14.44,36190000.0,21.89,1.22,0.74,16.35,0.27,1524296.0,25.33,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1388.0,271.0,2318.0,16896.0,0.0,38.0,4096.0,0.0,221.0,1.0,2.0,25.0
370,NUE,8190.0,22591.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,38.8,45.35,0.25,106.0,32.0,64.51,301850000.0,85.84,0.77,0.82,68.34,0.28,7788020.0,106.32,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1049.0,122.0,655.0,15872.0,0.0,43.0,4096.0,0.0,246.0,2.0,4.0,502.0
161,HOME,8190.0,22279.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,3.53,1.31,0.41,38.0,23.0,23.9,64879999.99999999,31.31,0.71,1.0,26.5,0.21,1124732.0,37.73,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,743.0,223.0,5590.0,11264.0,0.0,41.0,4096.0,0.0,304.0,2.0,3.0,13.0
484,MED,8190.0,18039.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,91.52,1.21,0.91,317.0,25.0,224.42,11770000.0,243.79,0.55,0.89,238.26,0.31,216106.0,307.2,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,95.0,126.0,1104.0,12288.0,0.0,37.0,4096.0,0.0,269.0,2.0,11.0,11.0
55,SM,8190.0,17791.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,1.4,0.4,0.25,19.0,10.0,11.14,114760000.0,17.03,1.25,0.83,13.63,0.08,8175670.0,18.31,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1022.0,458.0,7314.0,4608.0,0.0,36.0,4096.0,0.0,250.0,1.0,4.0,2.0
266,STLD,8190.0,16719.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,24.19,1.32,0.38,65.0,22.0,43.52,211010000.0,55.25,0.61,0.84,46.1,0.2,1884146.0,64.54,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,813.0,121.0,627.0,10752.0,0.0,41.0,4096.0,0.0,253.0,1.0,2.0,13.0
16,ET,8190.0,16348.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,5.11,4.82,0.46,10.0,23.0,7.27,2700000000.0,8.57,0.51,0.38,7.66,0.24,16424509.0,10.41,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,487.0,110.0,178.0,11264.0,0.0,50.0,4096.0,0.0,106.0,2.0,3.0,52.0
311,LOVE,8190.0,16163.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,13.66,2.27,0.41,80.0,17.0,51.91,14880000.0,68.52,0.71,0.99,59.08,0.17,358048.0,76.72,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,654.0,283.0,2574.0,8192.0,0.0,36.0,4096.0,0.0,301.0,1.0,3.0,23.0
198,OLN,8190.0,15786.0,11,1,True,True,True,True,True,True,True,True,True,True,True,True,9.79,3.99,0.35,47.0,17.0,30.83,158600000.0,42.31,0.82,0.88,33.92,0.13,1221383.0,47.03,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1013.0,205.0,1926.0,8192.0,0.0,43.0,4096.0,0.0,266.0,1.0,2.0,42.0
