,Ticker,SMA200_value,SMA150_value,SMA50_value,SMA21_value,SMA200_percent,SMA50_percent,EPS_QoQ_percent,Sales_QoQ_percent,prev_close,week52_high,week52_low,Inst. Ownership,Shares Outstanding,volume,Relative Strength Value,SMA50_greater_SMA150_rule (1st),SMA50_greater_SMA150_rule_score,SMA50_greater_SMA150_rule_nvalue,SMA150_greater_SMA200_rule (1st),SMA150_greater_SMA200_rule_score,SMA150_greater_SMA200_rule_nvalue,week52_span_rule (1st),week52_span_rule_score,week52_span_rule_nvalue,rs_value_rule (1st),rs_value_rule_score,rs_value_rule_nvalue,overextended_sma21_rule (1st),overextended_sma21_rule_percentage,overextended_sma21_rule_score,overextended_sma21_rule_nvalue,liquidity_rule (1st),liquidity_rule_score,liquidity_rule_nvalue,close_above_52weekhigh_rule (1st),close_above_52weekhigh_rule_score,close_above_52weekhigh_rule_nvalue,prev_close_rule (1st),prev_close_rule_score,prev_close_rule_nvalue,SMA200_slope_rule (1st),SMA200_slope_rul_score,SMA200_slope_rul_nvalue,inst_ownership_rule (1st),inst_ownership_rule_score,inst_ownership_rule_nvalue,close_greater_SMA50_rule (1st),close_greater_SMA50_rule_score,close_greater_SMA50_rule_nvalue,sales_QoQ_yearly_rule (1st),sales_QoQ_yearly_rule_score,sales_QoQ_yearly_rule_nvalue,eps_QoQ_yearly_rule (2nd),eps_QoQ_yearly_rule_score,eps_QoQ_yearly_rule_nvalue,Primary Passed Tests,Secondary Passed Tests,Lwowski Rating,N-Value Rating
1057,MARA,19.42,25.24,40.65,45.98,2.04,0.09,0.58,7.67,42.97,57.0,0.42,0.11,98800000.0,35303551.0,14.0,True,5002.0,8192.0,True,1228.0,4096.0,True,164718.0,2048.0,True,13312.0,1024.0,True,-0.06546324488908217,56.0,512,True,28.0,256,True,1.0,128.0,True,0.0,64.0,True,0.0,32.0,True,19.0,16.0,True,0.0,8.0,True,119.0,4.0,True,4.0,2,12,1,184487.0,16382.0
832,VUZI,11.54,14.02,22.84,25.86,1.56,0.13,0.69,1.1,25.8,31.0,1.49,0.22,62660000.0,8002815.0,18.0,True,5154.0,8192.0,True,880.0,4096.0,True,23518.0,2048.0,True,17408.0,1024.0,True,-0.0023201856148491384,26.0,512,True,13.0,256,True,14.0,128.0,True,7.0,64.0,True,0.0,32.0,True,54.0,16.0,True,1.0,8.0,True,14.0,4.0,True,6.0,2,12,1,47095.0,16382.0
931,HOME,21.52,22.68,27.86,27.73,0.57,0.1,1.31,0.41,28.24,33.0,1.76,0.94,64879999.99999999,1203115.0,6.0,True,1871.0,8192.0,True,221.0,4096.0,True,20992.0,2048.0,True,5120.0,1024.0,True,0.018391633609808798,15.0,512,True,8.0,256,True,18.0,128.0,True,9.0,64.0,True,0.0,32.0,True,285.0,16.0,True,0.0,8.0,True,3.0,4.0,True,13.0,2,12,1,28555.0,16382.0
1256,LOB,47.36,51.94,63.27,68.97,0.85,0.23,3.12,0.34,69.94,71.0,11.68,0.49,41330000.0,288407.0,20.0,True,1787.0,8192.0,True,396.0,4096.0,True,5422.0,2048.0,True,19456.0,1024.0,True,0.014064085834420747,18.0,512,True,9.0,256,True,40.0,128.0,True,20.0,64.0,True,0.0,32.0,True,141.0,16.0,True,1.0,8.0,True,1.0,4.0,True,33.0,2,12,1,27324.0,16382.0
1637,SAM,1018.28,1037.64,1134.85,1217.02,0.37,0.15,1.39,0.53,1252.55,1291.0,403.8,0.87,12180000.0,80971.0,12.0,True,767.0,8192.0,True,78.0,4096.0,True,1881.0,2048.0,True,11264.0,1024.0,True,0.02919426139258186,10.0,512,True,5.0,256,True,38.0,128.0,True,19.0,64.0,True,0.0,32.0,True,262.0,16.0,True,1.0,8.0,True,4.0,4.0,True,13.0,2,12,1,14342.0,16382.0
1222,CCS,50.08,52.41,60.99,63.24,0.44,0.1,0.67,0.25,64.68,67.0,14.69,0.93,33350000.0,215992.0,8.0,True,1341.0,8192.0,True,191.0,4096.0,True,3556.0,2048.0,True,7168.0,1024.0,True,0.02277039848197351,13.0,512,True,7.0,256,True,37.0,128.0,True,18.0,64.0,True,0.0,32.0,True,282.0,16.0,True,0.0,8.0,True,4.0,4.0,True,5.0,2,12,1,12622.0,16382.0
1161,KLIC,37.09,40.86,49.29,51.48,0.62,0.1,2.67,0.86,52.75,56.0,20.2,0.9,61970000.0,597202.0,9.0,True,1690.0,8192.0,True,416.0,4096.0,True,1359.0,2048.0,True,8192.0,1024.0,True,0.02466977466977473,12.0,512,True,6.0,256,True,33.0,128.0,True,16.0,64.0,True,0.0,32.0,True,272.0,16.0,True,1.0,8.0,True,10.0,4.0,True,28.0,2,12,1,12035.0,16382.0
1166,UCTT,37.94,42.79,52.76,56.77,0.63,0.08,3.09,0.29,55.11,65.0,15.05,0.91,40500000.0,661615.0,6.0,True,1909.0,8192.0,True,524.0,4096.0,True,3259.0,2048.0,True,5120.0,1024.0,True,-0.02924079619517357,39.0,512,True,19.0,256,True,17.0,128.0,True,8.0,64.0,True,0.0,32.0,True,275.0,16.0,True,0.0,8.0,True,1.0,4.0,True,32.0,2,12,1,11203.0,16382.0
1629,LRCX,490.55,532.82,580.8,626.46,0.46,0.14,0.74,0.34,640.43,668.0,234.52,0.87,143830000.0,1089935.0,8.0,True,738.0,8192.0,True,353.0,4096.0,True,1452.0,2048.0,True,7168.0,1024.0,True,0.022299907416275442,14.0,512,True,7.0,256,True,36.0,128.0,True,18.0,64.0,True,0.0,32.0,True,262.0,16.0,True,1.0,8.0,True,1.0,4.0,True,6.0,2,12,1,10056.0,16382.0
788,TGNA,15.67,16.76,19.44,19.84,0.45,0.11,1.88,0.35,20.43,21.0,10.13,0.91,219940000.0,1260705.0,8.0,True,1310.0,8192.0,True,285.0,4096.0,True,499.0,2048.0,True,7168.0,1024.0,True,0.029737903225806446,10.0,512,True,5.0,256,True,38.0,128.0,True,19.0,64.0,True,0.0,32.0,True,275.0,16.0,True,0.0,8.0,True,2.0,4.0,True,19.0,2,12,1,9630.0,16382.0
