,Ticker,N-Value Rating,Lwowski Rating,Primary Passed Tests,Secondary Passed Tests,SMA50_greater_SMA150_rule (1st),SMA150_greater_SMA200_rule (1st),week52_span_rule (1st),rs_value_rule (1st),liquidity_rule (1st),close_above_52weekhigh_rule (1st),prev_close_rule (1st),SMA200_slope_rule (1st),inst_ownership_rule (1st),close_greater_SMA50_rule (1st),sales_QoQ_yearly_rule (1st),eps_QoQ_yearly_rule (2nd),Double Bottom Chart Pattern,Inverse Head and Shoulder Pattern,Multiple Bottom Pattern,Channel Up Pattern,Channel Up Strong Pattern,Wedge Down Pattern,Wedge Down Strong Pattern,Channel Down Strong Pattern,SMA200_percent,prev_close,week52_high,SMA50_percent,Sales_QoQ_percent,Inst. Ownership,Shares Outstanding,week52_low,SMA200_value,EPS_QoQ_percent,volume,Relative Strength Value,SMA150_value,SMA50_value,SMA50_greater_SMA150_rule_nvalue,close_greater_SMA50_rule_nvalue,inst_ownership_rule_nvalue,eps_QoQ_yearly_rule_nvalue,prev_close_rule_nvalue,SMA150_greater_SMA200_rule_nvalue,close_above_52weekhigh_rule_nvalue,SMA200_slope_rul_nvalue,rs_value_rule_nvalue,liquidity_rule_nvalue,sales_QoQ_yearly_rule_nvalue,week52_span_rule_nvalue,close_greater_SMA50_rule_score,liquidity_rule_score,rs_value_rule_score,SMA50_greater_SMA150_rule_score,close_above_52weekhigh_rule_score,prev_close_rule_score,SMA150_greater_SMA200_rule_score,eps_QoQ_yearly_rule_score,week52_span_rule_score,SMA200_slope_rul_score,sales_QoQ_yearly_rule_score,inst_ownership_rule_score
2010,MARA,8190.0,204393.67050704526,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,3.1884,48.02,48.849998474121094,0.4735,7.6670000000000025,0.109,98800000.0,0.4000000059604645,16.24985612039086,0.579,20589073.0,165.36134666806637,20.988173083617138,38.169166723887116,4096.0,8.0,16.0,2,64.0,2048.0,128.0,32.0,512.0,256,4.0,1024.0,2.064668238082967,42076.504747024985,84153.00949404997,3353.000266873042,39.7669107333741,19.88345536668705,597.1790192351565,4.433333333333334,74009.59653816228,0.6800740284227184,118.67200000000001,18.88
1486,VUZI,8190.0,32920.39093268332,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,2.134,25.44,28.809999465942386,0.3948,1.1,0.255,55700000.0,1.2300000190734863,10.000143859026243,0.6859999999999999,6829656.0,22.066625581572147,11.889230741904333,20.208055549197727,4096.0,8.0,16.0,2,64.0,2048.0,128.0,32.0,512.0,256,4.0,1024.0,2.071231222841719,5393.056148882469,10786.112297764936,2865.9471037582066,22.70323083943799,11.351615419718994,386.87942800365374,5.622222222222222,13366.945851536171,0.5018030336632296,13.6,65.6
2564,SNBR,8190.0,12874.84956166883,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.8654000000000001,143.49,146.97000122070312,0.1211,0.287,0.9925,26910000.0,15.550000190734865,90.15913692995798,1.6669999999999998,432556.0,8.948319661641243,101.84490416600157,135.28083419799805,4096.0,8.0,16.0,2,64.0,2048.0,128.0,32.0,512.0,256,4.0,1024.0,0.4854592064378885,2034.7698333801584,4069.5396667603163,1344.7267738386888,38.625568460227605,19.312784230113802,265.44676573390046,16.522222222222222,4782.968980219201,0.2595076175627763,0.5919999999999996,301.6
826,AR,8190.0,11274.715779709417,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,1.1402,10.2,10.859999656677246,0.2249,0.374,0.722,268670000.0,0.6700000166893005,5.9606474852390425,1.162,8333564.0,1.143679474837099,6.8533653869078694,9.606944455040825,4096.0,8.0,16.0,2,64.0,2048.0,128.0,32.0,512.0,256,4.0,1024.0,0.4938557084280793,36.781945558297366,73.56389111659473,1645.7111544962188,32.294664367661646,16.147332183830823,306.72611778256174,10.911111111111113,8934.781526652841,0.2801807318730377,1.984,215.04
2229,HIBB,8190.0,5846.810477907136,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.5967,68.89,76.04000091552734,0.0902,2.785,0.95,16540000.0,9.710000038146973,51.72510772814854,2.989,358405.0,1.804813435595465,54.31499976378222,66.76111062367757,4096.0,8.0,16.0,2,64.0,2048.0,128.0,32.0,512.0,256,4.0,1024.0,0.2551053278094987,206.03223951243905,412.06447902487815,938.5854792201413,26.61897060900541,13.309485304502704,102.54398921418394,31.211111111111112,3787.429081252168,0.20053733089800685,40.56,287.99999999999994
2715,LH,8190.0,5500.369965748592,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.2407,255.03,255.02999877929688,0.0654,0.52,0.9390000000000001,97300000.0,113.30999755859376,214.06971213800446,3.1189999999999998,705975.0,6.601942545212713,221.36865351750302,242.0936101277669,4096.0,8.0,16.0,2,64.0,2048.0,128.0,32.0,512.0,256,4.0,1024.0,0.42748389320662455,1434.0972915744546,2868.1945831489093,383.4753517571952,42.666667483564034,21.333333741782013,69.82880387850646,32.65555555555555,358.84736233423524,0.04353238118522098,4.32,284.48
1371,CHX,8190.0,5121.8632176749825,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.6456999999999999,21.73,25.21999931335449,0.0886,1.881,0.998,200290000.0,6.070000171661378,14.61021578054634,1.689,1681691.0,3.3319065710370923,16.704038409086372,21.326666567060684,4096.0,8.0,16.0,2,64.0,2048.0,128.0,32.0,512.0,256,4.0,1024.0,0.1512973184706775,596.9680821854956,1193.9361643709913,1133.5154093493484,19.04943567159005,9.524717835795027,293.5034504390897,16.76666666666667,1528.7458220621313,0.2461717754054845,26.096,303.36
992,HIMX,8190.0,5086.876492329944,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,1.0849,13.65,15.949999809265135,0.0984,0.5770000000000001,0.161,172180000.0,2.75,7.916187042812649,31.824,3079247.0,1.0128684658197071,9.354807684054741,13.341111103693645,4096.0,8.0,16.0,2,64.0,2048.0,128.0,32.0,512.0,256,4.0,1024.0,0.18522528980113945,3.2943272498449123,6.5886544996898255,1745.4018680332501,18.056428078874788,9.028214039437396,372.18613675113136,351.6,2539.5199573863642,0.2636810015496249,5.232000000000001,35.52
2750,GNRC,8190.0,4350.245637049799,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.4868,327.45,363.4700012207031,0.0634,0.28800000000000003,0.9470000000000001,62390000.0,83.02999877929688,247.9815097506956,0.784,640867.0,2.7368481236914777,264.5282680804913,321.413335164388,4096.0,8.0,16.0,2,64.0,2048.0,128.0,32.0,512.0,256,4.0,1024.0,0.15025300260238456,444.6331196650184,889.2662393300368,880.8179045150017,25.753541729200677,12.876770864600337,136.6543864237708,6.711111111111113,1665.5817419388275,0.15256846962971848,0.6080000000000005,287.04
2263,YETI,8190.0,4306.164756018694,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.2704,72.21,78.04000091552734,0.0429,0.263,0.987,87110000.0,16.930000305175778,63.3418705068904,12.158,678651.0,3.203524086876405,68.20942310186533,71.04277759128145,4096.0,8.0,16.0,2,64.0,2048.0,128.0,32.0,512.0,256,4.0,1024.0,0.1314388258222352,564.1021662403597,1128.2043324807194,170.14393995557958,29.916963806031532,14.958481903015766,157.3800652670064,133.0888888888889,1808.119060732773,0.071417918497503,0.20800000000000016,299.84
2416,BC,8190.0,3923.271554168273,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.3033,95.37,107.23999786376952,0.0393,0.265,0.9898,78600000.0,26.709999084472656,79.0045322994534,0.316,412228.0,2.95590727690712,84.7317306811993,94.90083334181044,4096.0,8.0,16.0,2,64.0,2048.0,128.0,32.0,512.0,256,4.0,1024.0,0.039550055919929536,500.71226288822265,1001.4245257764453,491.58260031982735,23.776205932757893,11.888102966378947,148.46366334221992,1.5111111111111113,1442.8010837111135,0.09644806427752443,0.2400000000000002,300.736
2106,LPX,8190.0,3658.5653407025843,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.5914,55.46,56.83000183105469,0.2132,0.601,0.956,108000000.0,13.859999656677244,38.599640249348376,6.374,1591698.0,1.9717854689439769,41.30432686438928,49.87888887193469,4096.0,8.0,16.0,2,64.0,2048.0,128.0,32.0,512.0,256,4.0,1024.0,0.8951460233839561,248.77708004965814,497.55416009931633,850.3081553227313,38.55240239955616,19.27620119977808,143.50388117146431,68.82222222222222,1495.217459589082,0.12263262539247882,5.6160000000000005,289.92
2795,UHAL,8190.0,2829.6729593370314,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.4825,612.6,619.4099731445312,0.125,0.261,0.3670000000000001,19610000.0,250.97000122070312,455.49014304181657,4.916,38413.0,2.5951111964246447,487.00355647160455,576.7102754380968,4096.0,8.0,16.0,2,64.0,2048.0,128.0,32.0,512.0,256,4.0,1024.0,0.4978544838257257,408.34846628470916,816.6969325694182,754.4887835088658,40.79030776536194,20.39515388268097,141.69235424767626,52.62222222222224,492.37839442543793,0.14648994683247113,0.17600000000000016,101.44
2396,ENSG,8190.0,2343.7272247396445,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.4175,93.84,96.12999725341795,0.0886,1.021,0.857,53840000.0,29.21999931335449,73.95107916962328,4.357,331718.0,1.5593219311724686,79.56192306371835,87.05666626824274,4096.0,8.0,16.0,2,64.0,2048.0,128.0,32.0,512.0,256,4.0,1024.0,0.6233488161245383,143.18641438015197,286.37282876030395,385.8437174921796,38.60106582319249,19.300532911596246,155.38662077871118,46.41111111111112,997.2960883098524,0.12949635642167664,12.335999999999999,258.23999999999995
2233,ONTO,8190.0,2185.4333428754653,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,0.6083,65.71,69.91999816894531,0.1469,0.581,0.976,48930000.0,27.899999618530273,47.822949581009034,2.975,357373.0,1.4487503948467324,53.283269221966066,62.51194445292154,4096.0,8.0,16.0,2,64.0,2048.0,128.0,32.0,512.0,256,4.0,1024.0,0.4092728933731298,114.8801010807635,229.760202161527,709.4281994696048,32.390545771603634,16.195272885801813,233.83615445419613,31.055555555555557,515.7436366439277,0.11840195911198073,5.295999999999999,296.31999999999994
