,Ticker,SMA200_value,SMA150_value,SMA50_value,SMA200_percent,SMA50_percent,EPS_QoQ_percent,Sales_QoQ_percent,prev_close,week52_high,week52_low,Inst. Ownership,Shares Outstanding,volume,Relative Strength Value,rs_value_rule (1st),rs_value_rule_score,rs_value_rule_nvalue,liquidity_rule,liquidity_rule_score,liquidity_rule_nvalue,vol_price_rule (2nd),vol_price_rule_score,vol_price_rule_nvalue,eps_QoQ_yearly_rule (1st),eps_QoQ_yearly_rule_score,eps_QoQ_yearly_rule_nvalue,sales_QoQ_yearly_rule (1st),sales_QoQ_yearly_rule_score,sales_QoQ_yearly_rule_nvalue,shares_outstanding_rule (2nd),shares_outstanding_rule_score,shares_outstanding_rule_nvalue,inst_ownership_rule (2nd),inst_ownership_rule_score,inst_ownership_rule_nvalue,SMA200_slope_rule (1st),SMA200_slope_rul_score,SMA200_slope_rul_nvalue,SMA150_greater_SMA200_rule (1st),SMA150_greater_SMA200_rule_score,SMA150_greater_SMA200_rule_nvalue,SMA50_greater_SMA150_rule (1st),SMA50_greater_SMA150_rule_score,SMA50_greater_SMA150_rule_nvalue,close_greater_SMA50_rule (1st),close_greater_SMA50_rule_score,close_greater_SMA50_rule_nvalue,week52_span_rule (1st),week52_span_rule_score,week52_span_rule_nvalue,close_above_52weekhigh_rule (1st),close_above_52weekhigh_rule_score,close_above_52weekhigh_rule_nvalue,Primary Passed Tests,Secondary Passed Tests,Double Bottom Chart Pattern,Inverse Head and Shoulder Pattern,Multiple Bottom Pattern,Channel Up Pattern,Channel Up Strong Pattern,Wedge Down Pattern,Wedge Down Strong Pattern,Channel Down Strong Pattern,Lwowski Rating,N-Value Rating
1228,MARA,16.24985612039086,20.988173083617138,38.16916672388712,3.1883999999999997,0.47350000000000003,0.579,7.667000000000001,48.02,48.849998474121094,0.4000000059604645,0.109,98800000.0,20589073.0,165.36134666806635,True,42076.504747024985,256.0,True,42076.504747024985,256,True,1038.5997711573334,16.0,True,567.4666666666666,256.0,True,7595.008000000001,256.0,False,0.0,0.0,True,16.0,16.0,True,5.440592227381747,256.0,True,74.64737740439456,256.0,True,209.56251667956514,256.0,True,66.06938361865494,256.0,True,18502.39913454057,256.0,True,79.53382146674818,256.0,9,2,False,False,False,False,False,False,False,False,112307.73675781129,2592.0
211,HIMX,7.916187042812649,9.354807684054741,13.341111103693644,1.0849,0.0984,31.824,0.5770000000000001,13.65,15.949999809265137,2.75,0.161,172180000.0,3079247.0,1.0128684658197067,True,3.294327249844912,256.0,True,3.294327249844912,256,True,28.833836320000003,16.0,True,45004.8,256.0,True,334.84800000000007,256.0,False,0.0,0.0,True,16.0,16.0,True,2.109448012396999,256.0,True,46.523267093891434,256.0,True,109.08761675207812,256.0,True,5.927209273636461,256.0,True,634.879989346591,256.0,True,36.11285615774958,256.0,9,2,False,False,False,False,False,False,False,False,46225.71087745604,2592.0
704,VUZI,10.000143859026243,11.889230741904331,20.208055549197727,2.134,0.3948,0.6859999999999999,1.1,25.44,28.809999465942383,1.2300000190734863,0.255,55700000.0,6829656.0,22.066625581572143,True,5393.056148882469,256.0,True,5393.056148882469,256,True,169.329545216,16.0,True,719.6444444444445,256.0,True,870.4000000000001,256.0,False,0.0,0.0,True,16.0,16.0,True,4.014424269305837,256.0,True,48.35992850045672,256.0,True,179.1216939848879,256.0,True,66.279399130935,256.0,True,3341.736462884043,256.0,True,45.406461678875985,256.0,9,2,False,False,False,False,False,False,False,False,16246.404657873885,2592.0
1447,HIBB,51.72510772814854,54.31499976378221,66.76111062367757,0.5967,0.0902,2.989,2.785,68.89,76.04000091552734,9.710000038146973,0.95,16540000.0,358405.0,1.804813435595465,True,206.03223951243905,256.0,True,206.03223951243905,256,True,10.336555146666665,16.0,True,3995.022222222222,256.0,True,2595.84,256.0,True,5.4144,16.0,False,0.0,0.0,True,1.6042986471840548,256.0,True,12.817998651772992,256.0,True,58.66159245125882,256.0,True,8.163370489903958,256.0,True,946.8572703130419,256.0,True,53.23794121801082,256.0,9,2,False,False,False,False,False,False,False,False,8100.02012816494,2592.0
2013,UHAL,455.49014304181657,487.00355647160455,576.7102754380968,0.4825,0.125,4.916,0.261,612.6,619.4099731445312,250.97000122070312,0.36700000000000005,19610000.0,38413.0,2.595111196424645,True,408.34846628470916,256.0,True,408.34846628470916,256,True,9.100590720000001,16.0,True,6735.644444444446,256.0,True,11.26400000000001,256.0,True,3.4496,16.0,False,0.0,0.0,True,1.171919574659769,256.0,True,17.711544280959533,256.0,True,47.15554896930412,256.0,True,15.931343482423223,256.0,True,123.09459860635948,256.0,True,81.58061553072388,256.0,9,2,False,False,False,False,False,False,False,False,7862.801138178294,2592.0
1481,YETI,63.34187050689039,68.20942310186533,71.04277759128146,0.2704,0.0429,12.158,0.263,72.21,78.04000091552734,16.93000030517578,0.987,87110000.0,678651.0,3.2035240868764054,True,564.1021662403598,256.0,True,564.1021662403598,256,True,36.27241462399999,16.0,True,17035.37777777778,256.0,True,13.312000000000012,256.0,False,0.0,0.0,False,0.0,0.0,True,0.571343347980024,256.0,True,19.672508158375795,256.0,True,10.633996247223727,256.0,True,4.206042426311527,256.0,True,452.0297651831933,256.0,True,59.83392761206306,256.0,9,1,False,False,False,False,False,False,False,False,18760.114107857647,2576.0
1300,PCH,48.05992785117609,49.54240369796753,52.49138885074191,0.1809,0.0519,7.742999999999999,0.6579999999999999,52.92,54.540000915527344,25.979999542236328,0.8740000000000001,67160000.0,635761.0,2.3349232632690815,True,341.74035539688487,256.0,True,341.74035539688487,256,True,19.887436928000007,16.0,True,10756.266666666666,256.0,True,417.7919999999999,256.0,False,0.0,0.0,False,0.0,0.0,True,0.37534785679582233,256.0,True,7.896678870468193,256.0,True,15.238263442215937,256.0,True,2.090332464284184,256.0,True,66.45359077107543,256.0,True,75.19471391239794,256.0,9,1,False,False,False,False,False,False,False,False,12044.675741705674,2576.0
1324,LPX,38.599640249348376,41.304326864389274,49.87888887193468,0.5914,0.2132,6.374,0.601,55.46,56.83000183105469,13.859999656677246,0.956,108000000.0,1591698.0,1.971785468943977,True,248.77708004965814,256.0,True,248.77708004965814,256,True,78.16060915199999,16.0,True,8809.244444444445,256.0,True,359.424,256.0,False,0.0,0.0,False,0.0,0.0,True,0.9810610031398306,256.0,True,17.93798514643304,256.0,True,53.14425970767069,256.0,True,28.644672748286595,256.0,True,373.8043648972705,256.0,True,77.10480479911232,256.0,9,1,False,False,False,False,False,False,False,False,10296.000361997674,2576.0
1933,LH,214.06971213800443,221.368653517503,242.09361012776694,0.2407,0.0654,3.1189999999999998,0.52,255.03,255.02999877929688,113.30999755859375,0.9390000000000001,97300000.0,705975.0,6.601942545212712,True,1434.0972915744542,256.0,True,1434.0972915744542,256,True,176.0477912,16.0,True,4179.911111111111,256.0,True,276.48,256.0,False,0.0,0.0,False,0.0,0.0,True,0.3482590494817679,256.0,True,8.728600484813308,256.0,True,23.967209484824696,256.0,True,13.679484582611986,256.0,True,89.71184058355881,256.0,True,85.33333496712805,256.0,9,1,False,False,False,False,False,False,False,False,7722.402214612437,2576.0
1782,SNBR,90.15913692995798,101.84490416600154,135.28083419799805,0.8654000000000001,0.1211,1.6669999999999998,0.287,143.49,146.97000122070312,15.550000190734863,0.9925,26910000.0,432556.0,8.948319661641243,True,2034.7698333801582,256.0,True,2034.7698333801582,256,True,50.20529113600001,16.0,True,2114.8444444444444,256.0,True,37.88799999999998,256.0,False,0.0,0.0,False,0.0,0.0,True,2.0760609405022104,256.0,True,33.18084571673756,256.0,True,84.04542336491805,256.0,True,15.534694606012431,256.0,True,1195.7422450548002,256.0,True,77.25113692045518,256.0,9,1,False,False,False,False,False,False,False,False,7680.307808944186,2576.0
