,Ticker,N-Value Rating,Lwowski Rating,Primary Passed Tests,Secondary Passed Tests,SMA50_greater_SMA150_rule (1st),SMA150_greater_SMA200_rule (1st),week52_span_rule (1st),rs_value_rule (1st),liquidity_rule (1st),close_above_52weekhigh_rule (1st),prev_close_rule (1st),SMA200_slope_rule (1st),inst_ownership_rule (1st),close_greater_SMA50_rule (1st),sales_QoQ_yearly_rule (1st),eps_QoQ_yearly_rule (2nd),Double Bottom Chart Pattern,Inverse Head and Shoulder Pattern,Multiple Bottom Pattern,Channel Up Pattern,Channel Up Strong Pattern,Wedge Down Pattern,Wedge Down Strong Pattern,Channel Down Strong Pattern,Shares Outstanding,SMA200_percent,SMA200_value,SMA150_value,volume,EPS_QoQ_percent,SMA50_percent,Inst. Ownership,week52_low,prev_close,Relative Strength Value,Sales_QoQ_percent,week52_high,SMA50_value,SMA50_greater_SMA150_rule_nvalue,SMA150_greater_SMA200_rule_nvalue,week52_span_rule_nvalue,rs_value_rule_nvalue,liquidity_rule_nvalue,close_above_52weekhigh_rule_nvalue,prev_close_rule_nvalue,SMA200_slope_rul_nvalue,inst_ownership_rule_nvalue,close_greater_SMA50_rule_nvalue,sales_QoQ_yearly_rule_nvalue,eps_QoQ_yearly_rule_nvalue,SMA50_greater_SMA150_rule_score,SMA150_greater_SMA200_rule_score,week52_span_rule_score,rs_value_rule_score,liquidity_rule_score,close_above_52weekhigh_rule_score,prev_close_rule_score,SMA200_slope_rul_score,inst_ownership_rule_score,close_greater_SMA50_rule_score,sales_QoQ_yearly_rule_score,eps_QoQ_yearly_rule_score
2099,MARA,8190.0,211864.17088135378,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,98800000.0,3.7443,16.85591242435205,22.080792101302947,28173009.0,0.579,0.6735,0.109,0.41999998688697815,48.85,165.36134666806637,7.667000000000002,56.56000137329102,38.85029428145464,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,3110.752576935325,634.8249391077851,81715.20459216903,84153.00949404997,42076.504747024985,19.40216520934579,9.701082604672894,0.7268250561118625,18.88,2.059125863212575,118.672,4.433333333333334
1581,VUZI,8190.0,30986.836898676327,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,57890000.0,2.4631,10.258759100071703,12.362772254660578,9223707.0,0.6859999999999999,0.5396,0.238,1.4199999570846558,24.85,22.066625581572147,1.1,28.809999465942386,20.92264702740837,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,2836.034373759285,420.03315396770495,11441.3973287548,10786.112297764936,5393.056148882469,19.20814804874348,9.60407402437174,0.5074854377360651,60.16,1.5016658140614236,13.6,5.622222222222222
2321,APPS,8190.0,17203.812007690158,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,89000000.0,0.8898,55.23226272972832,62.673762368683775,2649588.0,3.245,0.0534,0.65,4.139999866485597,82.27,4.199723119881884,1.461,94.73999786376952,80.39617650649127,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1158.236007620489,275.92914914886995,13035.965353794178,1638.2582373795246,819.1291186897623,20.202944725166898,10.101472362583449,0.3717094479487947,192.0,0.1864589660785601,19.376,34.05555555555556
768,AR,8190.0,8378.228897224766,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,268670000.0,0.9866,6.058613141957861,7.019504955499478,5856055.0,1.162,0.1343,0.722,0.9399999976158142,10.86,1.143679474837099,0.374,10.859999656677246,9.719705918255974,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1575.6129831898688,324.81136986694924,6074.280644666085,73.56389111659473,36.781945558297366,42.66667206203976,21.33333603101988,0.3044015793804597,215.04,0.9385420434190509,1.984,10.911111111111113
2724,LH,8190.0,5355.339734144895,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,97300000.0,0.2383,214.99313855693288,222.09128668756767,367069.0,3.119,0.0633,0.939,126.41000366210938,252.7,6.601942545212713,0.52,255.02999877929688,243.0420577105354,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,386.3922776529147,67.61614565522743,215.5413868417361,2868.194583148909,1434.0972915744544,41.10742607966368,20.55371303983184,0.0634526703142182,284.48,0.31790192629021546,4.32,32.65555555555555
2244,HIBB,8190.0,5165.3400810605,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,16540000.0,0.6313,52.15875895702056,55.1148512811944,284592.0,2.989,0.1153,0.95,11.270000457763672,69.45,1.804813435595465,2.785,76.04000091552734,67.32705834332634,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,907.5811503379676,116.07019033747845,3121.4280980367,412.06447902487815,206.03223951243905,27.875852936499143,13.937926468249572,0.3267790949888685,287.99999999999994,0.2522542001877428,40.56,31.211111111111112
1592,VIVO,8190.0,4700.877419976548,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,42960000.0,0.3793,20.936934248374328,21.998613801332983,1037354.0,0.557,0.1654,0.935,8.670000076293945,28.3,4.566672593677059,0.264,29.88999938964844,24.277647018432614,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,424.34128538928496,103.85091239555055,1094.156339492214,1826.1363679626536,913.0681839813268,33.588048353703066,16.794024176851533,0.003918651824566131,283.2,1.3254506842490767,0.2240000000000002,4.18888888888889
1015,HIMX,8190.0,4628.503496451261,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,173770000.0,1.1345999999999998,8.053065689810872,9.630495045444754,2647892.0,31.824,0.124,0.161,2.9600000381469727,13.77,1.012868465819707,0.5770000000000001,15.949999809265135,13.177647057701561,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,1508.6591679496466,401.1609298587581,2286.702620445681,6.588654499689825,3.2943272498449123,19.34044063341434,9.67022031670717,0.3755247477643875,35.52,0.3596107497520172,5.232000000000001,351.6
2306,PINS,8190.0,4373.4188449673775,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,618370000.0,0.475,65.14724789918775,71.74963318475402,9239503.0,7.808,0.055,0.742,15.0600004196167,77.73,2.3089509412188183,0.764,89.1500015258789,75.27832311742445,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,201.4437331965253,207.55573720879025,2613.035817485992,670.1828819040351,335.09144095201754,20.804484273049656,10.402242136524828,0.22240693123588814,221.44,0.2605453236519354,8.224,84.75555555555556
2764,GNRC,8190.0,4130.740990503989,11,1,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,62390000.0,0.4847,249.9056923302421,266.8116820684754,390997.0,0.784,0.06309999999999999,0.949,89.63999938964844,323.8,2.7368481236914777,0.28800000000000003,363.4700012207031,322.81676707548246,4096.0,2048.0,1024.0,512.0,256,128.0,64.0,32.0,16.0,8.0,4.0,2,859.7705558103257,138.54613178697892,1467.253572852973,889.2662393300368,444.6331196650184,24.039690981570264,12.019845490785132,0.18835713428563533,287.68,0.024366340904159803,0.6080000000000005,6.711111111111113
