,Ticker,SMA200_value,SMA150_value,SMA50_value,SMA200_percent,SMA50_percent,EPS_QoQ_percent,Sales_QoQ_percent,prev_close,week52_high,week52_low,Inst. Ownership,Shares Outstanding,volume,Relative Strength Value,SMA50_greater_SMA150_rule (1st),SMA50_greater_SMA150_rule_score,SMA50_greater_SMA150_rule_nvalue,SMA150_greater_SMA200_rule (1st),SMA150_greater_SMA200_rule_score,SMA150_greater_SMA200_rule_nvalue,week52_span_rule (1st),week52_span_rule_score,week52_span_rule_nvalue,rs_value_rule (1st),rs_value_rule_score,rs_value_rule_nvalue,liquidity_rule (1st),liquidity_rule_score,liquidity_rule_nvalue,close_above_52weekhigh_rule (1st),close_above_52weekhigh_rule_score,close_above_52weekhigh_rule_nvalue,prev_close_rule (1st),prev_close_rule_score,prev_close_rule_nvalue,SMA200_slope_rule (1st),SMA200_slope_rul_score,SMA200_slope_rul_nvalue,inst_ownership_rule (1st),inst_ownership_rule_score,inst_ownership_rule_nvalue,close_greater_SMA50_rule (1st),close_greater_SMA50_rule_score,close_greater_SMA50_rule_nvalue,sales_QoQ_yearly_rule (1st),sales_QoQ_yearly_rule_score,sales_QoQ_yearly_rule_nvalue,eps_QoQ_yearly_rule (2nd),eps_QoQ_yearly_rule_score,eps_QoQ_yearly_rule_nvalue,Primary Passed Tests,Secondary Passed Tests,Double Bottom Chart Pattern,Inverse Head and Shoulder Pattern,Multiple Bottom Pattern,Channel Up Pattern,Channel Up Strong Pattern,Wedge Down Pattern,Wedge Down Strong Pattern,Channel Down Strong Pattern,Lwowski Rating,N-Value Rating
1063,MARA,17.547883220832713,22.808431384610195,39.43388901816474,2.7188999999999997,0.314,0.579,7.667000000000001,52.45,56.560001373291016,0.41999998688697815,0.109,98800000.0,20970797.0,37.25838018242378,True,2985.644795941027,4096.0,True,613.9545439090879,2048.0,True,81715.20459216904,1024.0,True,18564.290653400974,512.0,True,9282.145326700487,256,True,30.264965511365133,128.0,True,15.132482755682567,64.0,True,0.4938547593251563,32.0,True,18.88,16.0,True,2.640593926881429,8.0,True,118.67200000000001,4.0,True,4.433333333333333,2,11,1,False,False,False,False,False,False,False,False,113351.75714240724,8190.0
885,VUZI,10.606934295083484,12.762450970855413,21.345277786254883,2.4873,0.5439,0.6859999999999999,1.1,28.12,28.940000534057617,1.4900000095367432,0.23800000000000002,57890000.0,11807402.0,63.46561713804921,True,2754.585205941827,4096.0,True,416.18982725546965,2048.0,True,10909.38000961035,1024.0,True,31982.395974681196,512.0,True,15991.197987340598,256,True,37.83091147558415,128.0,True,18.915455737792076,64.0,True,0.41731178416039394,32.0,True,60.16,16.0,True,2.5390991980840445,8.0,True,13.600000000000001,4.0,True,5.622222222222223,2,11,1,False,False,False,False,False,False,False,False,62192.834005247285,8190.0
512,KOPN,4.518613146169343,5.606078437730377,9.874166674084133,1.9547999999999999,0.1612,1.1740000000000002,0.598,10.89,13.5600004196167,0.36000001430511475,0.184,81690000.0,10146058.0,28.811365210066242,True,3118.4168416991706,4096.0,True,492.8788646146991,2048.0,True,22118.399796549485,1024.0,True,14239.418987553916,512.0,True,7119.709493776958,256,True,9.061942661247796,128.0,True,4.530971330623898,64.0,True,0.3771588395446561,32.0,True,42.88,16.0,True,0.8230230332911328,8.0,True,5.568,4.0,True,11.044444444444448,2,11,1,False,False,False,False,False,False,False,False,47163.10952450338,8190.0
1150,ICHR,35.1833941745062,39.0658332974303,47.513610945807564,0.8445999999999999,0.32880000000000004,0.506,0.294,60.42,62.18000030517578,19.899999618530273,0.852,28060000.0,279310.0,30.616555596916783,True,885.7381073714187,4096.0,True,225.9939812603416,2048.0,True,895.7684884338472,1024.0,True,15163.676465621393,512.0,True,7581.838232810696,256,True,37.83595930187973,128.0,True,18.917979650939866,64.0,True,0.0960477199807163,32.0,True,256.64,16.0,True,2.1730849408878705,8.0,True,0.7039999999999997,4.0,True,3.6222222222222227,2,11,1,False,False,False,False,False,False,False,False,25073.004569333607,8190.0
1156,LPX,39.30554742186609,42.36284310209985,51.32277774810791,0.6579999999999999,0.25120000000000003,6.374,0.601,60.31,60.310001373291016,15.9399995803833,0.9590000000000001,108000000.0,1195467.0,23.915524337993887,True,866.3226927805008,4096.0,True,159.29918201916453,2048.0,True,1300.6214441154314,1024.0,True,11732.74846105287,512.0,True,5866.374230526435,256,True,42.666662780495315,128.0,True,21.333331390247658,64.0,True,0.0997211987579382,32.0,True,290.88,16.0,True,1.4008941286851402,8.0,True,5.616,4.0,True,68.82222222222222,2,11,1,False,False,False,False,False,False,False,False,20356.184842214814,8190.0
1433,FUTU,78.72094908944011,95.18392181396484,147.71194458007812,1.2845,0.0287,11.117,2.8160000000000003,148.26,191.0,10.140000343322754,0.48200000000000004,137260000.0,2990727.0,9.66262652719967,True,2260.410972249241,4096.0,True,428.2998176447221,2048.0,True,10549.017359637062,1024.0,True,4435.264781926231,512.0,True,2217.6323909631155,256,True,4.476649214659678,128.0,True,2.238324607329839,64.0,True,0.2203390171418505,32.0,True,138.24,16.0,True,0.029682388731928293,8.0,True,41.056000000000004,4.0,True,121.52222222222224,2,11,1,False,False,False,False,False,False,False,False,20198.408539870463,8190.0
1201,LOB,45.52036484488605,50.414999868355544,59.73055542839898,0.862,0.2494,3.115,0.34299999999999997,69.35,69.3499984741211,11.229999542236328,0.49200000000000005,41330000.0,363966.0,21.597320502816576,True,756.8484711608215,4096.0,True,220.21380017984802,2048.0,True,2770.179946512711,1024.0,True,10545.828097442087,512.0,True,5272.914048721043,256,True,42.66667042177368,128.0,True,21.33333521088684,64.0,True,0.13267091804037562,32.0,True,141.44,16.0,True,1.2883783855828586,8.0,True,1.4879999999999995,4.0,True,32.611111111111114,2,11,1,False,False,False,False,False,False,False,False,19806.944530063905,8190.0
1268,APPS,55.97569337552481,63.28176468493891,80.56833330790202,0.8573000000000001,0.042800000000000005,3.245,1.4609999999999999,85.25,94.73999786376953,4.139999866485596,0.65,89000000.0,3542557.0,5.676776494951041,True,1118.8971330394759,4096.0,True,267.30948987623486,2048.0,True,13035.965353794178,1024.0,True,2394.509565414933,512.0,True,1197.2547827074666,256,True,25.571180719830785,128.0,True,12.785590359915393,64.0,True,0.1260779293664482,32.0,True,191.99999999999997,16.0,True,0.4648641966273671,8.0,True,19.375999999999998,4.0,True,34.05555555555556,2,11,1,False,False,False,False,False,False,False,False,18298.315593593583,8190.0
620,HIMX,8.21343064830251,9.78499998999577,13.257222202089098,1.1842,0.1489,31.824,0.5770000000000001,14.44,15.949999809265137,2.9600000381469727,0.161,173770000.0,9821273.0,18.807394647286824,True,1453.4718646167746,4096.0,True,391.8671928462668,2048.0,True,2286.7026204456815,1024.0,True,9117.386059410854,512.0,True,4558.693029705427,256,True,26.50951072959354,128.0,True,13.25475536479677,64.0,True,0.17827351324352753,32.0,True,35.519999999999996,16.0,True,0.713740951086732,8.0,True,5.232000000000001,4.0,True,351.6,2,11,1,False,False,False,False,False,False,False,False,18241.129047583723,8190.0
658,AMRS,8.643503647651116,10.642352938652039,18.007777743869358,1.3877000000000002,0.0444,0.252,0.968,18.23,22.6200008392334,1.8899999856948853,0.38299999999999995,246820000.0,3504743.0,9.315257674098953,True,2834.7847676240776,4096.0,True,473.6092578710652,2048.0,True,6329.295566568644,1024.0,True,4257.411929138664,512.0,True,2128.705964569332,256,True,9.54435092402831,128.0,True,4.772175462014155,64.0,True,0.4135857474143663,32.0,True,106.55999999999999,16.0,True,0.09872278935974614,8.0,True,11.488,4.0,True,0.8000000000000002,2,11,1,False,False,False,False,False,False,False,False,16157.484320694599,8190.0
1122,KLIC,35.82145976324151,39.48107831618365,48.56833341386583,0.7284999999999999,0.1931,2.6689999999999996,0.857,56.22,56.220001220703125,20.200000762939453,0.905,61970000.0,1123258.0,18.745580522215576,True,942.7654579750632,4096.0,True,209.22929567812992,2048.0,True,685.9785864054393,1024.0,True,9085.737227374375,512.0,True,4542.8686136871875,256,True,42.66666296098668,128.0,True,21.33333148049334,64.0,True,0.11153002650814599,32.0,True,273.59999999999997,16.0,True,1.2603548111782128,8.0,True,9.712,4.0,True,27.65555555555555,2,11,1,False,False,False,False,False,False,False,False,15842.918615954915,8190.0
